,Delta,Theta,Alpha,Beta,Gamma
0,36898.616844716336,23224.60232732624,14595.467197659716,7007.44061035842,4911.894113590067
1,75740.09529580017,34801.60063597143,13652.102951546223,6386.822706030374,3457.960517660991
2,51617.224904441806,23020.860070443305,18838.256020353085,7312.403988887509,2223.3442184630176
3,57398.63396672383,22375.108028058756,16430.361137922024,4412.518358292768,2560.110846231379
4,54805.0540781584,28945.860767306673,14561.853232092966,7202.311439574655,3060.839999249868
5,47276.848374174035,13932.731505285217,18821.915050537875,5327.97752884984,1394.25098948279
6,15453.611969238254,8558.77023466892,5146.2030559142395,3599.9036324374733,510.8505195656903
7,45238.26394792886,13766.98683023153,5100.2157651220805,2404.2284843431994,848.1133995852767
8,12097.256305192752,5778.50280699617,2830.2696335993905,1561.8185900764552,341.47087378800836
9,4909.810866745565,4220.4569391223695,3733.770450465979,1115.1313592723977,307.9920098932306
10,7381.7855603938315,7333.747184143881,3564.690709071904,1620.041162987519,461.06437600729936
11,5201.287200882345,5864.777386749057,1499.0696321284288,887.1423878824471,375.0426483040576
12,8506.418525358422,4647.094675607776,3309.1216408188056,1335.9482371159859,405.5928988310985
13,31839.910274590187,15719.893943537849,7947.828878691433,3578.5594273847873,1390.8972484053459
14,19754.95409342816,7804.954720448532,2803.315074065961,1758.0312797662853,766.3635728160183
15,30348.36882667164,19407.96098219046,16681.876935258515,5680.415393501248,2746.7249899286353
16,54615.84477788313,19925.08015408241,15124.846949749664,4897.476555133439,1819.8153918320215
17,28330.37912418693,4830.025813459229,3803.007952159217,1805.0408085522024,583.7271196801335
18,51328.18324983362,18419.337542524823,10504.514734613389,5806.867396740684,1779.1953060343335
19,41792.69220002742,15534.621056830341,12348.622306399504,6236.991909062801,2839.421536363264
20,45533.7683149347,21333.885458894078,7878.206682354003,4051.2075417152555,1382.8040123370386
21,41541.969552720264,13008.598783977184,6482.224924130675,3887.908156909699,1491.4709873272318
22,50969.92841648529,16650.874377221055,9794.080083675817,3440.154505182673,1395.208315389878
23,27675.00695083846,10952.717540956955,6006.082305612251,4179.217689758324,1051.6356097319629
24,29820.29754222899,6957.786991700475,4796.454770867253,1754.2032308856892,750.099962306391
25,11301.095391119787,2856.1566285715,3794.539266138176,1762.9534868098272,431.72197613510616
26,22644.888809380405,7702.964961244015,2939.097499595428,2264.5711391126806,554.4075896997338
27,10260.973979537697,7691.676078909983,3918.65092589391,1196.629639619626,472.22169832787785
28,34957.936981291685,16802.396374251995,6169.99054999621,1982.860070330801,603.0076318186111
29,47057.75179747076,15255.480054403733,6193.101467499938,4001.1931403372982,1360.5598979715264
30,44024.05346596552,14434.211199918838,3555.8498885006375,1680.6922449838298,805.3365279210583
31,29969.179544550556,6124.913391207183,6044.302193526841,2210.680907282,1511.2137326419663
32,24060.197341982377,11831.590781937251,3485.1021607201023,1785.4494208904148,798.5857618700552
33,11014.02581314819,4203.158395528508,3665.004766423869,1754.1514564041372,755.9898790407485
34,27096.123871640633,11349.040756199272,3590.8185484286273,1710.9858981228251,670.269977649487
35,10303.299893692383,6701.622572402883,3383.5126906503383,1389.8785874028054,596.0210811016948
36,2667.7913442783083,3206.105838488351,1606.6005492382515,771.6607430807995,286.56603887451143
37,13986.398590009876,4498.245738589022,5255.3613337435645,2093.803605456395,735.9993920600135
38,6518.902893613501,5514.440731036087,7538.313410705395,1538.2961386842883,746.0339782713038
39,8044.23196763124,5271.1632318909105,1589.8488626293988,1112.0505228643626,452.5945326386459
40,12831.864875348692,3812.833446506683,3467.0825464304044,1376.0621028600647,707.3673020488046
41,17538.075185292786,6125.08970841359,5624.295451473999,2162.0846190260177,700.8046014128881
42,48299.65569875764,26823.439490502125,6430.717883248618,2474.4345448038184,600.286615701872
43,13615.975235083815,3346.194097786712,3504.3262309605498,1558.0558287633314,380.9057171459364
44,15195.16812945239,4945.781079208415,1936.0925756530894,757.1167988785543,415.06084450391364
45,23224.109594558686,8794.651582669643,4129.5729523971295,1218.6345705415629,630.6975143927397
46,9132.220183409285,4948.515582701021,2872.5128552147353,1028.8705139902122,430.2769277694778
