,Delta,Theta,Alpha,Beta,Gamma
0,9815.732809888352,8199.68527950418,4493.864395026418,1184.005169610115,625.5413707715607
1,44652.05189280801,12632.65511899593,6028.328598898234,2199.9385771707443,1724.8947961851966
2,23923.356123660986,10686.217708527121,2762.865766104185,2341.223474366659,1201.6293339992492
3,6120.966690411026,2215.4463292565897,1784.5838164109944,683.6097484894447,343.7175336300892
4,3138.733702664049,1176.29967263952,1090.4617431237325,561.8414126058295,283.065391289995
5,5128.466297183528,2155.4058585924995,1715.3150335379912,810.7260058643562,415.21720952879747
6,5800.553016711203,3434.6353896986934,1824.3235492284232,740.6112703316265,363.17824488580465
7,1705.8239287862937,1247.8357019373625,949.0329300243575,460.91177147304074,252.27762928076058
8,3962.461751462154,1054.7593058317002,1176.6951886876411,483.6049508504201,197.34237453192068
9,17789.280428183934,9053.759556902618,2091.1161231437263,1171.0815046453552,519.5654807507557
10,48840.49175782334,15954.858698331711,11836.256487815956,2882.6506568330533,1151.5687697138217
11,20199.337709075302,12512.233870407887,9320.23615309915,2984.061660449342,1455.5364294807985
12,16554.760210979,5229.911652284261,6757.138388460675,1819.8688218802322,601.3383674144324
13,11681.990099856945,10805.91790109739,9403.297223655978,1888.313398203424,791.5795544099819
14,37411.94309808115,12169.40786760531,7280.575427156157,1652.9859632928021,846.9971031512382
15,16365.308144576718,4730.6829916094675,2168.136716936065,1099.3286872870042,601.9771945526096
16,5033.754380066285,3525.5933139720155,2141.39482915024,713.8141031757984,382.55519129150815
17,6592.711289562078,3717.13996700799,1154.8070992809942,576.9578669612653,472.52100121186083
18,11437.32447793375,8300.889175532937,1519.6681399958918,1154.6493015556543,1043.674019831396
19,24019.719200492284,21008.467236082255,6745.160764641808,2511.7092408120034,1399.211037093835
20,46408.57236755839,34979.04358941017,15357.325448216932,6431.6863033306845,2212.7045060740575
21,40358.32607410164,32762.105688970798,11841.497077956608,5065.434245178939,2825.1781686556665
22,33913.38842263534,14149.821720649317,7000.756743853914,5234.828689424026,1822.9156336099998
23,58428.24076586753,16594.39306803728,5705.607845337958,2741.563943239573,1198.6067671683268
24,42606.706675125555,14959.715997271922,8691.087248939815,3749.4787523511745,2134.3673389365167
25,52441.68957013553,26963.598566271678,15816.683738752958,4817.914046952338,1766.6987558354103
26,41586.60941100677,15637.871647392294,8796.723062610805,3959.442917360241,1070.0612002498933
27,51851.520781333,31778.86265128974,13471.61776833653,3858.9332389175943,1242.6557777601665
28,22844.914516674828,11294.78078331109,4598.64896441902,1924.7166302428043,846.2870696675437
29,20187.268073104624,6350.373164748048,2835.330803155496,1573.9934075168078,590.3644737156808
30,15480.624434886267,9914.887459194624,3747.9443490096883,1422.759461705628,628.8170539250775
31,9735.11366819962,4698.180491695773,3255.12905593068,1001.470154471113,360.15185577483516
32,1932.9127451979236,2130.1263515320247,2621.3062581536274,705.4991165946997,307.17550111859987
33,2851.9654974292775,1981.6551580567425,2462.5354680672403,731.1596170737089,254.53594939701478
34,1826.5458603042277,1351.7339931133856,1363.7884359008108,573.2881868152504,216.5616897953702
35,2912.7960789384742,2180.617445145922,1505.2908143391082,619.9114848392203,245.1432391296636
36,17635.985191007403,7372.991437038832,2720.241240457516,736.8623047323738,335.8834140026337
37,21953.59745031797,10297.01203085257,4893.861137112085,723.5483599267499,336.0513229420244
38,31467.981129280215,5915.504161438301,3294.757570823816,2085.538089976394,1073.541831080909
39,23639.16631527058,7718.178933994612,2321.967059381773,1530.1310937893822,784.5645609527807
40,48046.01900260899,11672.444465363811,3206.6783712014453,2479.1244635446405,1395.9436833893112
41,52322.483133337286,14514.23281622703,6828.31886196775,2623.3895906836833,850.48866046355
42,30561.541827704386,21356.86156211559,10364.04343257804,3354.3316139899475,984.6566300279671
43,31108.62446407805,14515.962660003868,12906.10691311644,4300.011514345085,1754.262931633449
44,25103.54282110098,9441.830744304105,3414.0410495420597,1807.5187800554995,683.8240214602881
45,8281.378025333941,2367.5731922532723,2077.135321853544,725.3676741705575,287.1896133058928
46,3761.767812032149,1617.8845129671606,1487.3440798834804,809.9914675669696,214.5637617031946
