,eeg1,eeg2,eeg3,eeg4,aux,time_since_start
0,-237.3046875,21.484375,-778.3203125,-61.5234375,-390.13671875,0.0
1,-232.421875,-49.8046875,-863.28125,-47.36328125,-310.546875,0.0
2,-234.375,-38.57421875,-809.08203125,-49.31640625,-319.82421875,0.0
3,-200.68359375,-14.16015625,-777.83203125,-31.73828125,-471.19140625,0.0
4,-206.54296875,-47.36328125,-827.63671875,-50.29296875,-437.01171875,0.0
5,-191.40625,-51.26953125,-817.87109375,-46.38671875,-359.86328125,0.0
6,-154.296875,-38.57421875,-809.08203125,-44.921875,-343.75,0.0
7,-158.69140625,-71.2890625,-847.16796875,-67.3828125,-328.61328125,0.0
8,-132.8125,-84.47265625,-866.69921875,-36.62109375,-250.9765625,0.0
9,-97.65625,-72.75390625,-858.3984375,6.34765625,-64.94140625,0.0
10,-92.28515625,-4.8828125,-748.046875,-17.578125,-202.63671875,0.0
11,-116.2109375,9.27734375,-716.796875,-34.66796875,-384.27734375,0.0
12,-140.13671875,-59.08203125,-794.921875,-31.73828125,-279.296875,0.0
13,-113.76953125,-154.78515625,-974.12109375,-15.625,130.859375,0.0
14,-63.4765625,-50.78125,-841.30859375,-7.8125,36.1328125,0.0
15,-43.45703125,23.4375,-692.87109375,0.9765625,-371.58203125,0.0
16,-62.5,-58.59375,-736.328125,-18.5546875,-291.50390625,0.0
17,-67.87109375,-55.6640625,-696.2890625,-60.05859375,-292.96875,0.0
18,-31.25,-36.1328125,-685.546875,-75.1953125,-359.86328125,0.0
19,-1.46484375,-48.33984375,-743.65234375,-51.7578125,-184.5703125,0.0
20,-10.7421875,-81.54296875,-750.9765625,-15.13671875,54.6875,0.0
21,-5.859375,-70.3125,-690.91796875,-17.08984375,-31.25,0.0
22,-16.6015625,-39.0625,-660.15625,-42.48046875,-83.49609375,0.0
23,-28.80859375,-38.0859375,-639.16015625,-35.64453125,-97.65625,0.0
24,-33.69140625,-91.30859375,-750.9765625,-17.08984375,5.37109375,0.0
25,-61.03515625,-160.15625,-940.4296875,-6.34765625,366.69921875,0.0
26,-69.3359375,-30.2734375,-709.9609375,-6.34765625,147.94921875,0.0
27,-55.6640625,36.1328125,-523.92578125,-21.484375,-168.9453125,0.0
28,-62.98828125,-16.11328125,-598.14453125,-40.0390625,-160.15625,0.0
29,-48.828125,30.2734375,-542.96875,-32.71484375,-226.07421875,0.0
30,-60.05859375,16.6015625,-551.26953125,-38.57421875,-259.765625,0.0
31,-94.23828125,-57.6171875,-642.08984375,-73.73046875,-102.5390625,0.0
32,-97.65625,-60.05859375,-651.3671875,-89.35546875,35.64453125,0.0
33,-92.7734375,6.34765625,-559.08203125,-67.87109375,-86.9140625,0.0
34,-58.59375,22.4609375,-469.7265625,-29.78515625,-270.01953125,0.0
35,-23.4375,-52.734375,-631.34765625,-31.73828125,-103.02734375,0.0
36,-22.4609375,-52.24609375,-689.453125,-32.2265625,29.78515625,0.0
37,-7.32421875,6.8359375,-491.2109375,-28.80859375,-156.25,0.0
38,29.296875,14.6484375,-423.33984375,-51.7578125,-272.94921875,0.0
39,44.921875,-58.10546875,-604.98046875,-54.6875,-125.48828125,0.0
40,60.546875,-117.1875,-768.06640625,-26.85546875,213.37890625,0.0
41,65.4296875,14.16015625,-466.30859375,-16.6015625,2.9296875,0.0
42,42.48046875,42.48046875,-451.66015625,-20.01953125,-246.58203125,0.0
43,-2.44140625,-50.29296875,-564.94140625,-28.80859375,-41.9921875,0.0
44,-23.92578125,-52.24609375,-558.59375,-41.015625,7.8125,0.0
45,-40.0390625,-17.578125,-520.01953125,-44.43359375,-139.6484375,0.0
46,-42.48046875,-30.2734375,-537.109375,-65.91796875,-113.28125,0.0
47,-44.921875,-33.69140625,-518.5546875,-71.2890625,-50.78125,0.0
48,-71.2890625,4.39453125,-394.53125,-44.43359375,-56.15234375,0.0
49,-78.125,-4.8828125,-443.84765625,-35.15625,-107.91015625,0.0
50,-80.078125,-21.97265625,-472.65625,-22.4609375,-176.7578125,0.0
51,-106.4453125,-76.66015625,-640.625,-5.859375,60.05859375,0.0
52,-133.30078125,-108.88671875,-707.51953125,-6.8359375,391.11328125,0.0
53,-95.703125,43.45703125,-353.515625,-17.578125,83.984375,0.0
54,-73.2421875,45.41015625,-378.90625,-28.80859375,-130.37109375,0.0
55,-61.5234375,-42.96875,-505.37109375,-19.53125,-1.46484375,0.0
56,-45.41015625,-20.99609375,-431.15234375,-32.2265625,-23.92578125,0.0
57,-33.203125,24.4140625,-303.7109375,-54.19921875,-169.921875,0.0
58,9.27734375,-16.11328125,-428.22265625,-48.828125,-114.74609375,0.0
59,39.55078125,-23.4375,-509.765625,-41.50390625,-2.9296875,0.0
60,55.6640625,15.13671875,-314.94140625,-30.76171875,-122.55859375,0.0
61,69.3359375,14.6484375,-265.625,-31.25,-218.75,0.0
62,38.0859375,-75.1953125,-460.9375,-27.34375,-87.890625,0.0
63,24.90234375,-123.046875,-602.5390625,-33.69140625,181.15234375,0.0
64,46.38671875,-8.7890625,-348.6328125,-54.19921875,-4.39453125,0.0
65,62.01171875,25.390625,-228.02734375,-31.25,-226.5625,0.0
66,92.28515625,-56.640625,-460.44921875,-6.34765625,-0.48828125,0.0
67,93.75,-75.1953125,-574.21875,-12.6953125,129.39453125,0.0
68,92.28515625,-2.44140625,-326.66015625,-10.7421875,-99.609375,0.0
69,118.1640625,-11.23046875,-348.14453125,0.48828125,-73.73046875,0.0
70,102.5390625,-2.9296875,-371.58203125,-12.20703125,44.43359375,0.0
