,Delta,Theta,Alpha,Beta,Gamma
0,20313.725253192024,9980.259886952555,3620.8836500188145,2361.3153690989498,1200.2615739014143
1,10577.507050690398,13215.121755579294,11939.386173766055,5375.053792749629,2277.1627509013842
2,35276.09972019786,40920.626125444134,10012.74859085208,4369.967664328177,1224.1737434316585
3,34294.27512520902,11666.817839340172,14169.711981525305,4644.498056700228,2630.217470022193
4,48151.965758122984,22527.4989659893,7838.975158128417,4003.511099216349,1654.573632969638
5,32749.365255072655,10158.01571838896,4210.348428890134,3307.646336771876,1729.015611634753
6,28652.446272630943,38785.42276226934,18775.905537432252,4346.041302705647,2154.6263211928713
7,26906.07678252612,15817.328834891006,8458.791629514699,8229.55719701356,2541.2695503233253
8,19516.07452996515,13303.403816786114,5846.135182451301,6142.566121825702,2360.333891498527
9,12809.067020760383,8916.115410060243,7074.478412647132,5979.346746198328,2029.096210671682
10,19230.845821993993,8004.9715725869,9885.999202720834,3640.2894400469904,1633.9604224109219
11,22561.752590156135,18538.96321735908,13840.519622367172,3758.190188308973,1477.8819269689125
12,11056.119633689774,11475.479504123086,6123.4784416127495,4162.092541799,1690.8521498459827
13,12853.927185836843,8233.250166789994,2594.863975629776,2059.226016587962,891.837231350017
14,25829.475922553844,14615.184592982692,6698.265011411613,4031.253396405378,1931.5023969222707
15,24288.495460225437,11240.01171954033,8463.301232952332,3950.951877778001,2536.2088152111833
16,6613.085136258121,3066.5120400464248,1595.518779219814,1090.4485653932243,911.0912282023213
17,30741.53372645937,16161.753989131259,7491.33099126526,2713.3500328880855,1322.8067176356217
18,27687.817126954844,13063.54410966966,4534.873993322396,1924.5008757832475,926.1476128203946
19,16345.5666335055,11780.632070128211,5783.463369557076,1390.008819795999,605.9071007374638
20,32459.995352178474,15631.220758336556,12975.276926095405,5210.450534254016,2347.127141622471
21,24485.906636766245,25023.653629564476,12847.317542420587,5253.285782499252,1214.917090710971
22,15397.682339116229,10143.830704186457,3924.6748205050912,1890.3521704163268,879.495428016446
23,2407.172506465799,1348.166044064066,995.9346465973649,680.3308419036645,569.5246312740984
24,1716.2567442805841,801.2547153463497,597.7047642897055,549.6716608754073,587.6817663276239
25,10374.156295749717,5581.370211115154,2860.7607266779946,1108.4209625098015,591.2903222997425
26,4525.27710062128,1991.858238693026,986.7533324309127,724.4018585627173,376.76867061099057
27,5840.702143136901,2180.637699945823,936.1324214638795,653.3617528506643,371.56480953579637
28,8121.86663774403,4186.62557717321,2953.153207612902,1028.530051070261,652.1499104482807
29,48719.68565159986,17953.17440188997,8276.35817756731,3848.2517505397686,1054.240891584074
30,21982.451457169896,9555.970698619607,5440.570785364448,1615.3009282341554,1044.9166751855305
