,Delta,Theta,Alpha,Beta,Gamma
0,58630.26544972474,21528.17216412264,14630.23540814679,8029.693387580616,2523.571847142129
1,69244.59915989923,18768.162862725472,11327.264872696507,4789.785556079533,1825.8412781533016
2,39924.467191817705,22668.272562823484,10911.101025365173,3556.624247206046,1424.766481349783
3,53448.45711131522,33748.70365760671,11517.65812869548,7062.587521859987,3289.718788721731
4,37764.28446706911,38184.420793626436,6652.644360036426,6055.235139041215,1950.8490387936195
5,52761.741761393205,20073.91227216626,14615.564835804364,6153.669371982447,1840.930778874144
6,65023.7910389367,44515.55575517138,14134.483026810292,9972.628886018934,3770.4193009155515
7,25594.346158071334,20096.998282861354,5714.851790015247,2157.98470440188,889.4451011668345
8,10605.279289357128,6773.523854658362,4996.275760851166,2136.9155507776127,950.4453247693198
9,46472.558688395,20670.619073983795,11665.35575327339,6041.570478891803,3744.831420473674
10,59336.0206018344,37395.25980391649,17642.540126044874,8300.27268491156,3288.2226029512685
11,67614.0776425337,33760.07420517467,14624.87476875776,12789.083820080394,4202.401802043749
12,48513.43457454818,21080.970163658476,9931.795909362083,5294.140932466961,2134.996736599522
13,55649.838704570146,31820.04320041692,14060.586184731865,5390.978721595817,1086.7639661377175
14,47857.57485621524,34673.760151776805,19457.096033598846,6165.873698456695,2819.9562691793385
15,52155.42367929231,34366.1942153414,8211.83712442795,5551.036950492929,2882.7753862220984
16,49666.0671190739,39624.598834265315,26213.702648989263,8134.387083462612,4845.950400540947
17,67525.596483711,17709.608904399363,10349.54637969882,4557.407879683073,1902.0673774063453
18,43348.33224083361,27940.173980294632,19505.36017096154,7954.125447489514,3018.0759470889784
19,34030.608601223954,28457.640418602718,13104.625223914287,6057.032191343428,3498.6331658104123
20,19019.1629562479,20418.191766190746,8045.162738526191,3898.7299633313996,2401.2323618125556
21,40009.75649477384,18599.155503689708,10488.58864119976,3046.7993832194975,1129.5928753779535
22,46117.24853638288,20242.145738165724,7666.592419607473,4309.728936174189,1277.5791108428725
23,53380.750173939625,18145.113704230513,24262.1099324102,10710.085436308489,3525.8828657136273
24,47943.531810512075,10580.356343317031,10213.66878053389,3409.253850435237,1755.5479992400656
25,51750.54036333923,26537.096684860207,12725.60319668977,4700.724348714662,2010.2181281597036
26,64598.86870496358,19659.649557338023,11042.53171979966,4085.162441981258,1513.8339818069066
27,10270.630120660167,2823.839985347111,4006.507084273683,2079.129965854972,514.4979689650409
28,43238.75197373593,25286.088479447757,4408.10163634583,4140.913730840075,2045.114148357064
29,31463.604971171644,15166.973637636194,9121.462792994213,2940.7315703744393,1269.9083351722188
30,46503.339448492145,19020.142742256263,14934.06963583927,5189.215692284695,2316.5461054883526
