,eeg1,eeg2,eeg3,eeg4,aux,time_since_start
0,970.21484375,-853.02734375,86.9140625,-1.953125,615.234375,0.648851
1,970.21484375,-906.25,74.70703125,2.44140625,518.06640625,0.648851
2,970.21484375,-971.19140625,30.76171875,10.7421875,617.67578125,0.648851
3,970.21484375,-1000.0,41.50390625,-4.8828125,743.65234375,0.648851
4,970.21484375,-1000.0,92.28515625,1.953125,733.3984375,0.648851
5,970.21484375,-941.40625,139.16015625,24.90234375,631.34765625,0.648851
6,970.21484375,-972.65625,38.57421875,24.90234375,706.0546875,0.648851
7,970.21484375,-1000.0,-6.8359375,62.5,930.17578125,0.648851
8,970.21484375,-690.4296875,162.109375,72.265625,753.41796875,0.648851
9,969.7265625,-517.578125,93.26171875,28.3203125,635.25390625,0.648851
10,969.7265625,-822.75390625,-26.85546875,62.5,722.65625,0.648851
11,970.21484375,-570.80078125,61.03515625,91.30859375,688.96484375,0.648851
12,970.21484375,-384.27734375,69.3359375,71.2890625,688.96484375,0.648851
13,964.35546875,-669.921875,20.5078125,62.98828125,855.95703125,0.648851
14,975.09765625,-895.5078125,-67.3828125,72.75390625,975.5859375,0.648851
15,917.48046875,-954.58984375,-34.66796875,24.4140625,960.9375,0.648851
16,725.09765625,-648.4375,75.1953125,25.87890625,818.359375,0.648851
17,687.98828125,-362.3046875,15.625,96.19140625,770.5078125,0.648851
18,885.7421875,-787.59765625,-115.72265625,83.984375,928.7109375,0.648851
19,965.8203125,-645.99609375,-19.04296875,29.78515625,912.109375,0.648851
20,972.16796875,-297.8515625,11.23046875,34.1796875,820.80078125,0.648851
21,939.453125,-689.94140625,-100.09765625,79.58984375,868.65234375,0.648851
22,682.12890625,-930.6640625,-90.33203125,74.70703125,913.0859375,0.648851
23,530.76171875,-924.31640625,-74.21875,77.63671875,854.4921875,0.648851
24,549.8046875,-937.5,-78.61328125,87.890625,864.74609375,0.648851
25,554.6875,-976.5625,-112.79296875,8.7890625,914.0625,0.648851
26,400.87890625,-1000.0,-126.46484375,-35.64453125,951.66015625,0.648851
27,397.94921875,-998.53515625,-140.13671875,30.2734375,972.65625,0.648851
28,754.39453125,-997.0703125,-145.5078125,96.6796875,958.49609375,0.648851
29,638.671875,-992.1875,-178.22265625,90.33203125,960.9375,0.648851
30,102.05078125,-1000.0,-234.375,80.56640625,977.05078125,0.648851
