,Delta,Theta,Alpha,Beta,Gamma
0,65065.929847356616,33138.927149871975,11772.364754520315,5777.9413726256125,2503.8151624205875
1,37488.59486020598,24003.915825300413,8829.443817876789,3759.1174754809763,2635.215935080156
2,45437.929347786914,9156.595664984605,3697.0641609969657,1714.4849931610777,1000.7888282386381
3,17091.635087610273,5634.108189616956,3447.079001217935,1688.8195999575175,898.8761072752291
4,36624.74310435318,15865.637272410691,3807.9357670175714,1924.3533694055425,1075.4951990990903
5,44121.28179734557,21242.004498362174,9963.838979996945,2855.0182014338443,1299.0867510270195
6,37994.126842623555,17278.94010940909,19039.304959160683,6882.468869792761,3387.425569906754
7,28888.66971657603,24373.408399728833,13668.25494181524,4114.228233859515,1569.454711662036
8,35827.5588381352,28615.489338485582,15290.424551684124,5131.562142052528,2110.678018880246
9,29702.76340158101,20772.208764029318,10933.545607542303,4045.213849598734,1366.8722255898213
10,56578.2895213526,31991.691175767824,16119.651767055275,6908.421584880738,2343.0142614040296
11,49239.19290516055,32262.698405293017,17270.282603771957,8000.464853636535,3099.3969622701484
12,60038.26754483488,27092.174293327873,15735.581937074963,5915.020502228336,2802.8501155526196
13,55448.37522408494,45322.70822737677,22283.27164617495,8021.949378561117,3438.723802123309
14,14699.884718755702,8950.457611660026,5318.065077026493,3137.417975945486,1723.997261347732
15,64715.806033265624,26440.788063415388,15867.753442915902,5896.666518981678,1481.265408367461
16,56043.749926451696,23564.894440773423,16523.271746803184,5079.496599313558,2005.8597874839668
17,55325.00370689419,37547.79117463814,12340.68364155042,7271.04633862574,2555.7415725881924
18,38870.738080319396,27447.7436433547,14369.01219497089,4379.65313881523,1531.311549233194
19,40174.93094620641,24918.941035148702,8634.98225613075,4779.244493331884,1047.943479227845
20,44285.03558362761,27837.64866970472,9556.138522099109,4048.7707094615166,1142.9135877526387
21,41663.846537958234,21132.510354650985,4216.050438307908,2642.3315871905324,1037.9271276703562
22,42181.16519688474,19023.77382701426,7303.332469063267,4251.2674240730585,914.576862651271
23,67275.0319535475,21784.739288489796,11701.063891419832,5133.128121856457,1912.3025042360518
24,57511.10741927634,39499.533566720784,17642.81018543234,7774.720139517731,3623.8707822621473
25,27638.86992915,25047.204420606457,14237.18731507248,3934.8449679175937,1202.0910619929682
26,21999.25363556656,7897.023860095541,10670.163294455602,4357.7927410695365,1064.3790506813361
27,63371.836829994325,19565.503410392572,11278.579245694822,5014.994123687183,1889.6475936369384
28,62438.68501784411,22072.623354115367,13786.006124744115,4606.553430362141,1176.2504291676305
29,39928.94003671641,14905.242850794166,8354.687931289043,3925.9143076675,1517.8198412870522
30,37303.31822854112,18073.696991024713,7806.368864520686,5109.897904890078,2982.463178509884
