,Delta,Theta,Alpha,Beta,Gamma
0,37327.82269066765,16118.581761382837,8046.108619455493,3160.792185253062,1071.3571148290537
1,60325.27212844595,16389.854466106903,8624.40016963286,2894.507389253002,718.8803980434881
2,14972.636088598465,22055.702620550754,14517.254003865612,5444.661000068606,2546.1946800529236
3,40871.88454728914,18367.50051027294,10118.638939486365,4720.126424482623,2095.4742220607236
4,62044.28667875422,27086.518855290524,8521.210021895175,4558.470325520709,1816.5996925383577
5,45698.44344535867,15017.75698213516,5374.674154576103,2550.5497059334934,1454.3920804436552
6,43667.1465609138,9084.075771461374,4378.39009282064,2216.481573899979,721.9064210001741
7,35866.04393774486,6592.738585840617,2366.56695476996,892.1043052454602,341.3773810009582
8,29958.15674071495,6242.26618522601,2263.8670533651994,1225.9513893367628,549.5921035332944
9,7749.019905638781,3042.894409267696,1952.8173330287877,1185.6042630731206,592.0818183000079
10,19800.137125519817,7103.208317870455,2386.317738822716,1167.7481203905688,655.2061151485005
11,29739.132323022994,13842.403530000398,5446.584009240372,2408.085731808268,1316.8222569418806
12,9511.815797710626,2665.793972980476,3210.916897017065,1137.959333288435,721.3642837005057
13,6618.637147831338,4028.2919332062547,1265.0601735178202,690.5711626563053,406.4618579184885
14,24677.81581955461,8430.715900943605,3256.5928656417227,1578.587808640903,703.6078593213717
15,9648.080989602258,5517.002013273617,1717.0353482438645,1101.5247178824568,440.5184393918632
16,49088.61512680342,13820.442025176406,3080.8059973113477,1204.116163044574,752.8470419591531
17,9631.156488806128,3454.6896752000584,1465.8637410552003,758.7001805325152,438.1455810101963
18,1904.9371519372094,1565.596352251261,955.8679999201088,606.0096126014129,433.8798528483363
19,2761.6793150914973,1262.9000527384735,931.5677168668178,726.9106937414629,427.270482638885
20,3817.417021495212,1672.7842454930465,1135.308046264962,722.2073701329491,416.93026162395756
21,2655.922349857705,2069.9505551564284,541.6626948342222,528.5458002814513,290.8644392114822
22,12151.135550669587,2943.8014791700857,1084.2947417824594,796.3724632922595,363.0879253067648
23,4431.306354909126,1406.5659407052526,1087.5048261371362,547.1926466129755,311.2306174028725
24,3877.723671823108,2332.2692952508996,1835.174750292969,651.0434159014974,308.37278305647226
25,9023.157693037956,2575.3435304876884,998.0710285583145,665.3676597869888,350.80479784828395
26,8451.177940561924,2073.5169484774547,810.5779528572625,475.75629534620117,319.32127187897356
27,6603.865164672482,1778.7954133803366,692.9585797419511,489.04022682782585,302.1964428573453
28,12315.676736308293,5665.868645945805,3099.15347534784,967.8456005206062,441.86705713451505
29,13265.224381835133,6045.77365399761,1974.7289188379932,839.2856412493358,371.4174431127247
30,7373.587105700423,2015.6768766342866,1366.4198496671643,574.4503417890614,332.6772248979065
