,Delta,Theta,Alpha,Beta,Gamma
0,1798.6400333510599,1386.2155315480736,1017.1431867992167,537.2173046643688,930.4802463598921
1,27828.691113761863,10641.975566539217,1921.4318126024586,1208.8555332401327,1605.1674722561208
2,11153.48894663862,3852.6538770924894,1069.3353914611948,1319.6116671564819,1468.3035538791175
3,28915.064054206123,19085.597950812065,3618.9285837809803,2536.841594469066,1191.120621242338
4,48103.74562815242,11891.110961023529,6526.000296505158,2284.416627986014,1238.7632297184314
5,63368.894389893954,29819.679908438728,12595.893923227555,5064.911174578712,2031.406614579509
6,31057.411024047156,19000.082771177076,14015.154629543162,4341.8582090292875,3153.849360483147
7,31509.93049767438,13598.228563290277,14332.470036198885,6576.190412451121,3167.5993741167713
8,21927.622917914556,21359.838608145434,9511.70231591484,5864.6150314525985,2815.9105266080533
9,26599.229075472525,13715.106905215429,14545.464389030414,6570.41343602793,3061.9508878178844
10,15630.35792383254,5323.4770963465135,5343.6939474250275,1959.2852094326595,915.9023663479668
11,4339.081963624651,1303.9292769875929,1523.2748015590955,469.45416638721844,287.6045862922473
12,2342.0175475056153,1510.1423761022972,1098.127906115345,554.9938695586156,356.4733003166249
13,3050.565058392022,1542.5180230467658,1030.0820318145502,413.2299448212796,300.45494350557976
14,1313.969164967517,1092.3253646850421,1209.5681221511597,430.9069205377031,320.78033882830306
15,19057.495309474427,6966.834896208494,1846.266884135177,905.5679565985139,514.5377191377114
16,2917.602569871205,1435.3278708135997,889.5943386670997,417.41278827548047,340.9515002287805
17,2435.097649407998,912.2109412656071,900.1922371521387,451.6513800398523,257.0625112430764
18,2131.613074880217,816.5727171371233,867.8252830675885,464.30286701424706,256.1029674789762
19,3316.7705140911694,2198.062835540707,1730.60956707291,600.946257433863,356.8041066698476
20,3746.58035985415,1740.5753676596803,1101.877932938553,555.9680700412348,440.9749296361819
21,6604.41139514912,4446.507352016497,2206.1420621796287,757.7936465042236,399.1484786875141
22,17342.534404435304,10854.523395144543,8877.211120761302,2524.6147974777177,764.0923032398825
23,11639.199877510984,6481.780555285775,2614.221562417155,695.4072909896316,530.7440426222425
24,18020.921015041982,10140.92397018437,3204.0235044655788,1330.265490323129,511.19096353366643
25,10464.613155820927,5992.8136726289185,4375.410000936251,1177.7161327747083,504.5181296446244
26,15513.992058848205,5794.324847412534,3871.260936991084,1825.2412179546059,785.6017365571652
27,29508.11375501384,13457.279264448287,9248.4530085329,2289.2181254610437,648.2790632135908
28,13844.247244233036,15162.42474767229,11738.53518251588,3368.7558863894596,595.3036125617436
29,38067.92423023105,20012.68743498225,6328.161915323372,5445.603635384521,1378.5154248942333
30,15694.549835899456,18874.721556978635,14524.562888364972,4123.328938444657,1577.7921631889947
31,24204.59444963981,14544.962116320288,10908.717064399216,4342.178371170396,1702.4438690724671
32,11338.069242814374,7674.144469792849,4500.88751362021,2327.0126056497843,1062.378153070086
33,10352.395533475476,4303.206901713383,2862.592849744769,995.0364293410178,434.41625048488294
34,6992.494279149955,5002.1456460118425,3831.0565708972563,1185.1888463047028,696.462784469765
35,46448.134083326804,14269.25345773865,7429.057307237938,2605.334985731022,857.3624746830845
36,64356.9477316309,20705.806026486178,10541.44467650812,4426.296681767297,1353.6919400593454
37,33207.36177803925,11385.48200608238,6539.51161978805,2303.5800050453486,1115.3258715719967
38,9752.239239988556,3139.814798957691,1360.573141963179,750.4111812612667,559.661411706794
39,18136.4014479314,5849.322484626622,3398.1014191144714,1589.6698920904025,739.1970281789193
40,5117.609048201929,3258.9399940813532,1848.6086968843433,658.4821274470072,543.2351359086529
41,22617.718641457235,9293.499903576238,3542.308956143276,1551.469190639682,643.8229261514459
42,19547.720141166792,13437.002503048041,3532.5367169145247,1754.9144900457345,1170.2586756532369
43,21776.38474413466,9826.24428715453,2230.3096517242748,2133.998731667602,897.61955703074
44,43754.90625522171,17153.055267660962,10937.688026170024,2977.2362188266147,1713.6129729611102
45,30231.34072351726,32574.460633202732,7285.941778544043,3235.9697721257467,1723.870432314017
46,31621.502520216527,32246.444255944596,14349.190817055376,8203.209661329527,2672.17520284204
