,eeg1,eeg2,eeg3,eeg4,aux,time_since_start
0,-75.68359375,728.02734375,-269.04296875,-74.70703125,-116.2109375,0.0
1,-60.05859375,448.73046875,-510.25390625,-45.41015625,264.6484375,0.0
2,-33.69140625,555.17578125,-396.97265625,-4.8828125,145.01953125,0.0
3,-57.12890625,733.3984375,-231.4453125,-12.6953125,-131.8359375,0.0
4,-77.1484375,555.17578125,-334.47265625,-33.69140625,-17.08984375,0.0
5,-103.515625,345.703125,-506.8359375,-58.59375,141.6015625,0.0
6,-104.4921875,635.25390625,-288.0859375,-55.6640625,-25.87890625,0.0
7,-118.1640625,675.78125,-177.734375,-29.78515625,-147.4609375,0.0
8,-48.828125,387.6953125,-368.65234375,42.48046875,35.64453125,0.0
9,-26.85546875,242.67578125,-534.1796875,17.578125,333.49609375,0.0
10,-99.12109375,604.98046875,-273.4375,-55.6640625,102.5390625,0.0
11,-150.390625,634.765625,-171.38671875,-114.74609375,-187.01171875,0.0
12,-136.71875,334.47265625,-329.58984375,-110.83984375,-139.6484375,0.0
13,-60.546875,404.78515625,-357.421875,-27.83203125,-100.5859375,0.0
14,13.671875,480.95703125,-354.4921875,33.69140625,-125.9765625,0.0
15,-5.859375,503.41796875,-317.3828125,9.27734375,-170.41015625,0.0
16,-35.64453125,333.49609375,-436.03515625,-27.83203125,-57.12890625,0.0
17,-16.6015625,225.5859375,-485.3515625,-19.04296875,227.05078125,0.0
18,-40.52734375,626.953125,-222.65625,-22.94921875,-6.34765625,0.0
19,-36.62109375,650.87890625,-203.61328125,-36.1328125,-220.703125,0.0
20,-17.578125,333.984375,-479.4921875,-10.7421875,-24.4140625,0.0
21,-40.0390625,462.40234375,-330.56640625,-37.59765625,-83.49609375,0.0
22,-9.27734375,595.703125,-169.921875,-24.90234375,-241.2109375,0.0
23,-65.4296875,404.78515625,-226.07421875,-56.15234375,-151.3671875,0.0
24,-68.84765625,307.12890625,-256.8359375,-64.453125,-65.4296875,0.0
25,14.6484375,330.078125,-324.70703125,-3.41796875,3.41796875,0.0
26,-0.9765625,306.15234375,-326.66015625,-4.39453125,6.8359375,0.0
27,-15.13671875,276.3671875,-340.33203125,-9.27734375,-126.46484375,0.0
28,-59.08203125,18.5546875,-545.41015625,-46.875,162.59765625,0.0
29,-0.9765625,277.83203125,-326.171875,-5.37109375,156.25,0.0
30,17.578125,454.58984375,-166.9921875,5.37109375,-160.64453125,0.0
31,-24.90234375,222.65625,-352.5390625,-10.25390625,-173.33984375,0.0
