,Delta,Theta,Alpha,Beta,Gamma
0,3158.8649115354583,796.2394281624564,886.8115587153355,422.44372607506875,194.6877995833939
1,16122.191425259502,10354.184824010059,2878.810681921987,1142.767966208389,534.1794200637455
2,5494.25639416328,1660.3358805456905,927.1202071221498,466.8069048855142,237.6366381102934
3,1286.6119208464083,935.9024190044861,404.1956270767476,330.8824444787518,167.9909381611335
4,3633.3358059799552,1455.7933321610362,702.1486296678795,436.4330403601227,233.67640508880783
5,2085.3129567106766,1148.6171843058119,596.7326801988713,252.01540863120115,184.32564423658778
6,2254.870541822262,824.2166602619883,734.2643732292968,247.80851572192168,150.79623705061132
7,1350.3337109015276,722.7888575205413,415.708995644023,239.05775074473934,179.36495276019747
8,1385.1613732429923,807.4210190926873,526.9526522097351,255.65452831128823,164.4748459522417
9,1982.2613172301249,938.1959710118418,654.1254593667215,285.27334536456766,181.61064892608806
10,2991.7618045987842,1929.6817137062203,391.6465677600925,274.9156451139189,158.13499261165452
11,1208.6350456001724,1133.4868280835567,413.37728211199044,267.3667823284827,181.81615466052614
12,1153.2915670515326,625.3230396893874,420.33529716375034,331.65986062615593,162.96190131799128
13,1082.8187825940959,561.5259668349249,347.77838529943637,217.58206012931484,162.3112836760254
14,886.5799176243313,602.2683594141738,203.1475556718012,200.2909363228939,146.0486220367838
15,1529.6576669128629,876.9383144491871,286.1135435760558,216.9475089364911,156.36880987233943
16,2419.8369952199346,1075.9365766111762,497.6806658357982,250.8090427606289,154.39941633490284
17,1134.4392441743325,609.2646644361291,414.3218226971959,230.58875434728662,158.446070529084
18,1160.730174194467,1032.0290952504188,277.71827505250883,308.48458274946285,147.67701746639165
19,1274.8088113720553,671.1420092462499,270.2915225258227,186.76697368079925,137.70233041340126
20,876.9727151549225,467.8740799625011,442.97272186273784,231.69784819604985,191.11330412090547
21,11709.536545595842,6789.95587044929,1102.4633172162671,719.9027782893697,455.3532600969714
22,351.8555242485675,689.7545964776332,295.54039382720396,243.76608077436734,164.90172684380644
23,4458.825428669057,2844.4307763706984,988.4715143937116,300.2632601417437,164.5764629897045
24,2929.0267818027282,766.0700511207499,481.7269926500564,335.162208912392,159.29607901484837
25,2773.925861735557,1113.3810403328825,453.67011276230426,350.0668157405401,194.73570315769643
26,5352.4061769814725,2802.094608453756,1445.6594018386568,866.45878365725,382.1601279876507
27,5659.326004638302,2740.6083799837984,1046.3728298349129,429.8313161926412,220.79558301704674
28,11738.208522162533,4282.74680773766,2550.0431033474097,760.67822282743,210.153275362093
29,36368.58272962897,17200.581530020714,6409.035611598742,2954.5893303297407,905.6670799797503
