,Delta,Theta,Alpha,Beta,Gamma
0,44275.20196386744,19569.462529598226,6142.445929241097,1776.3025930130216,709.8074020606387
1,31517.765095520743,17016.88144360879,5518.1813258935745,3501.7681877150576,1464.6388664565359
2,29465.597703616408,8444.340039240777,3852.7094297160234,2040.565891042524,1303.5876643915774
3,8582.195151931315,4466.535771810242,2558.6343855674504,882.3403483769613,641.9390835465266
4,7542.940396806523,2599.9374792416525,2604.2367840060233,876.278053736141,519.9592977740525
5,4951.576607326482,3258.5664767344347,2040.0306371855738,929.3370084241897,577.6090631941012
6,4873.152018291754,3035.310398526154,1616.4744106909757,585.3868822574295,537.0438619360916
7,6222.789879369823,1369.7100471527344,1143.8719699145033,608.3054855466469,414.8994396108527
8,1067.778613688997,845.9628164689288,518.5118599521471,469.39959121679976,534.7054506216422
9,8808.311521703432,5633.441612209357,4045.7552001195336,1959.6435204432316,740.7998467988718
10,39947.54599079135,15495.09724142501,14198.833799754717,4444.70239712457,1588.2653384746206
11,26354.186503186855,17891.215103229646,6581.094106571734,2031.3258665433038,1015.9890262614532
12,59259.929603551675,23911.612716320054,14104.736975940363,5099.380072096801,1762.2610564336715
13,62306.665441154124,21596.065084931703,11591.253369755023,3193.3020245153025,757.4156957417372
14,47526.9281991462,19235.115025517447,7136.7033888809865,2758.641460663902,1515.2821113467417
15,62191.268684780334,29370.80426245799,12792.464417459345,5382.922874261097,2221.049161186923
16,28199.885064325576,9680.065289093416,7705.490499684029,2485.108772623363,1574.1263112811596
17,15988.253697568212,8302.308858448647,3889.8266778132047,1738.3987629790236,880.8628996391238
18,33086.33040092961,10408.824814618436,10458.134733339193,3787.264301075794,902.7331003363546
19,37540.858933846226,17712.132738109154,6599.994999017193,3168.460355382773,1607.6232003046312
20,10479.293189516584,3710.391832021369,2110.8151682997195,787.9281864872783,632.4997604313429
21,10836.677054663794,4816.054813744355,2196.6600245270306,870.2680279776605,607.9697703620241
22,15562.734719246153,6032.308776099131,3222.4780508057497,1410.7738336877842,587.9229412000369
23,21685.746299015125,9619.63502304457,6851.826507718998,2249.2170842492574,1080.0042770932785
24,13107.307102665138,9859.45521684567,6003.47822515661,2597.7329693071124,1162.7833836926038
25,28003.276908848653,13346.217645677778,6567.892011320486,1671.7832667133036,820.396038686513
26,39668.40892633298,15810.278473195189,4956.986620018504,2637.141244376276,1894.165470214781
27,15565.320787221337,9858.584425965464,4164.639859377667,2374.2554620475867,1062.9209270386189
28,26584.381522698237,16713.835675085935,4154.87640403936,2113.9579251224573,1445.4424104295333
29,3261.0949672074194,2226.59215417993,1386.5482461462896,552.6772086040852,380.6951441921739
30,2112.646045557262,1371.6269878717867,666.0933488396659,453.5159922496403,320.70983828964404
