,Delta,Theta,Alpha,Beta,Gamma
0,13403.164062019043,2938.9698030242844,1297.3986126585335,727.3625521732276,417.3604493196725
1,14617.906444519918,6162.176550399537,2371.749468765263,1135.4536537334584,592.6625173520858
2,34759.23758266888,13764.787272065329,9394.886470379686,2507.3879402479733,1026.3562986531185
3,61236.16022058022,23773.417333865542,7116.099641664294,2840.958064924008,962.9905354917615
4,51322.13983697895,34125.5667121729,18230.23260557667,7161.962379226369,2448.0758204582025
5,59932.13320211528,23938.315980284046,18901.605890266303,6669.764467807444,2658.689947783137
6,55014.82403929711,38015.233434151916,27892.49180959626,11879.647950546696,4951.988550649764
7,61258.50181707602,18753.573670008613,18691.722421394763,8867.342655972556,3249.7510282837375
8,53828.91347612346,50669.770789072805,19773.17989686794,9155.833346054647,4565.090220925417
9,56535.346257763245,38708.52418279133,15793.513335396967,9236.755610259583,2951.802620057521
10,45441.83563247944,21575.558644352135,9289.809392457495,4326.523887799869,1538.3225940716159
11,45670.38767059982,21779.256616726394,12912.03446209952,5431.316824116656,2153.6225766789075
12,57648.08698579773,13540.563259139892,9402.066045090154,3655.4795775783323,1512.3873913906716
13,30370.13452254502,15098.254962112935,8201.627066526466,4311.75155119376,1073.4556180306884
14,15809.94579598767,7381.2150485992215,4612.370945064949,2131.6757465031596,991.6758908613125
15,8315.15402572329,8355.707293637835,7554.323354754571,1800.1467911752231,828.3589213869537
16,51718.951604374,16160.827538254685,4703.423536871441,2532.3396612139004,1203.0783370848073
17,39034.52092672806,12678.459726678955,5905.872355273364,1338.9604165498254,706.4777610642634
18,24972.398124898213,5714.024520096377,3669.2419322426526,1450.0023177251815,609.9682436678214
19,63586.26515857796,23423.373772914536,14881.34966482778,4018.0233078585925,1307.8540066906078
20,61190.078190499036,21410.317599124508,11045.49089810768,5655.270220277904,2020.6335005889694
21,34442.90034327916,29123.587456749643,12262.183030544427,4887.179023883907,1905.8222036376571
22,22456.83554796557,7759.737151262747,1975.6003547099522,975.6329471589343,576.9689581782429
23,20195.492050710975,8546.007250767176,4599.912333928054,3053.9502904128885,1455.759738567128
24,13709.023757048355,10447.304313198687,5360.237837807537,2188.348225062877,905.5803348631267
25,32157.532505298434,30676.164575484127,11252.16355406619,3898.5138620346443,1467.025612418421
26,57435.77554515528,49167.695821989095,16947.51983813114,10442.41511688645,4136.614060105819
27,68811.49951437603,30756.188078995667,17214.952339137893,6966.673434363897,3761.6309178927118
28,60333.69335113195,21382.576859759054,9014.696730261852,3898.7197016401724,568.3510427958296
29,55677.438143456144,23045.704655407946,10604.263760203106,5470.394789849099,1770.346915785919
