,Delta,Theta,Alpha,Beta,Gamma
0,6378.048371020084,4131.055610480063,1582.717181158689,892.3277719019685,458.73484786406794
1,7493.003599547398,6506.479865350073,2210.8400893154817,868.0193143759207,606.4730245584168
2,31538.23225092131,30379.20670048578,13745.0687982911,3439.3474199931557,1443.749661210688
3,19098.879154067272,16393.80191507971,5749.933903044156,3351.4756639932525,1270.479709677889
4,8987.131854817844,4044.254299474201,1237.6310873385228,1125.5510303953931,927.6792116142691
5,19538.917886369138,9113.104864409708,4594.139215523669,2383.8846043630306,1139.6227330842028
6,8904.500452805423,3062.8258705115622,936.209522739344,564.7514115313872,416.55850022206937
7,20762.597823336546,8040.381221125881,2027.6074324508386,1097.056518387637,527.2897212523335
8,7530.80561544908,2085.930089724971,1600.8989345415735,919.3961316309835,502.5005457170737
9,18205.128387103672,10310.369001728308,3543.092166730112,1938.0925455248776,562.764890585294
10,41122.51685867243,6915.250635001794,6250.288093007257,2880.811802566356,1280.9189114278715
11,44602.1015378462,22615.123984100497,10356.245447749538,3802.032430036568,2094.771048061323
12,58089.12022198992,20766.480668168155,10891.600979360448,4122.747499425399,1739.9019074081002
13,20800.76821403717,11378.38195797339,7440.6099560083485,2344.399254703265,843.0817459755378
14,19482.25947552347,8308.420321409703,3476.7242134438957,1533.0856290797171,915.88827193895
15,12495.870725772415,3254.1501951379123,1810.782947133965,930.2765833958597,668.7854638193096
16,21665.743313295534,11221.404748573628,4405.5709876387655,2329.3928018119905,1329.941141627109
17,9011.330176127722,3406.632071093005,2784.640019599534,1688.538904384731,954.9285672584707
18,14214.029797721894,7030.852595865333,3493.7359235097283,1682.032206786322,894.2626254472515
19,25433.482633397594,8384.882597986365,2831.3138684891264,2150.749263730999,881.8913835406245
20,45982.54901739039,13288.059778999956,7250.019449176706,2033.8175136770974,682.526915419553
21,24193.060480833843,10421.353082486054,6197.4261803254685,2519.6498175583247,792.447691180595
22,8026.946549713757,5210.291109508566,3938.015483151578,2377.233176888746,1157.629955762641
23,25753.837170326973,9621.005928441467,3092.1762692639977,1480.0485267122285,508.3494923624413
24,48873.96657437227,31615.45462301718,13678.333042624861,6747.488006591062,2176.1360004635694
25,20053.230321610547,13528.13928437941,9161.905817317911,4366.443060709457,1799.3026452294985
26,37835.83901558929,17055.91962634684,8498.837416801436,4457.326160379634,2019.2918777427014
27,36607.51212654621,22282.865238288043,9580.222900481012,2922.5184071084386,1123.118982391482
28,62615.85623296825,17572.027570711776,8731.978950062978,3671.63268620389,1273.5204272988735
29,49433.546751374764,19585.19801148024,7395.88422302935,2392.0648629457864,484.5957528967273
30,21250.948770857656,8960.45557915205,7067.65402437595,1670.4481200589635,990.0787984394887
