,eeg1,eeg2,eeg3,eeg4,aux,time_since_start
0,163.57421875,-988.76953125,55.17578125,-14.6484375,28.80859375,0.678713
1,222.16796875,-970.21484375,66.89453125,-0.9765625,-38.0859375,0.678713
2,190.4296875,-994.62890625,-67.3828125,5.859375,-39.55078125,0.678713
3,161.62109375,-998.046875,-2.9296875,-21.97265625,89.35546875,0.678713
4,179.19921875,-999.51171875,61.5234375,-2.44140625,208.0078125,0.678713
5,187.98828125,-998.046875,72.265625,11.71875,146.484375,0.678713
6,93.75,-1000.0,-261.23046875,-28.80859375,338.37890625,0.678713
7,76.171875,-992.1875,-465.33203125,-34.1796875,566.40625,0.678713
8,183.10546875,-912.109375,47.8515625,-46.38671875,158.69140625,0.678713
9,244.140625,-937.01171875,39.0625,-51.7578125,-116.2109375,0.678713
10,186.03515625,-1000.0,-254.8828125,-53.22265625,26.3671875,0.678713
11,136.71875,-999.51171875,-224.609375,-80.078125,2.44140625,0.678713
12,149.90234375,-997.0703125,-145.5078125,-87.890625,-144.53125,0.678713
13,208.49609375,-1000.0,-319.3359375,-107.421875,-101.07421875,0.678713
14,184.08203125,-990.234375,-431.15234375,-108.88671875,97.65625,0.678713
15,138.18359375,-956.54296875,-38.57421875,-95.21484375,-92.7734375,0.678713
16,185.546875,-975.09765625,117.67578125,-85.9375,-261.23046875,0.678713
17,191.89453125,-1000.0,-238.76953125,-72.75390625,-85.44921875,0.678713
18,221.19140625,-1000.0,-308.10546875,-79.1015625,-60.05859375,0.678713
19,205.078125,-985.83984375,84.9609375,-121.58203125,-181.640625,0.678713
20,171.875,-988.28125,47.8515625,-123.046875,-146.97265625,0.678713
21,191.40625,-998.53515625,-104.00390625,-109.86328125,-17.578125,0.678713
22,213.37890625,-994.62890625,-76.66015625,-109.375,-34.1796875,0.678713
23,168.9453125,-1000.0,-184.5703125,-120.60546875,-35.15625,0.678713
24,125.9765625,-1000.0,-201.171875,-138.671875,-60.05859375,0.678713
25,58.10546875,-1000.0,-425.78125,-147.94921875,36.62109375,0.678713
26,48.828125,-1000.0,-447.75390625,-136.23046875,150.87890625,0.678713
27,31.25,-1000.0,-16.6015625,-133.7890625,-196.2890625,0.678713
28,-105.46875,-1000.0,-159.1796875,-142.08984375,-160.64453125,0.678713
29,-212.890625,-1000.0,-319.3359375,-151.3671875,56.15234375,0.678713
30,-251.953125,-1000.0,-153.80859375,-136.71875,-91.796875,0.678713
31,-325.68359375,-1000.0,-144.53125,-142.578125,-209.47265625,0.678713
32,-456.54296875,-1000.0,-300.29296875,-171.38671875,-211.9140625,0.678713
33,-500.48828125,-1000.0,-362.79296875,-170.41015625,-58.10546875,0.678713
34,-437.5,-1000.0,-130.37109375,-156.25,-65.91796875,0.678713
35,-415.52734375,-1000.0,-120.60546875,-139.6484375,-285.15625,0.678713
36,-479.98046875,-1000.0,-377.9296875,-139.6484375,-179.6875,0.678713
37,-537.59765625,-1000.0,-442.3828125,-151.85546875,124.0234375,0.678713
38,-511.23046875,-1000.0,-40.0390625,-127.44140625,-86.42578125,0.678713
39,-414.0625,-1000.0,160.15625,-114.2578125,-328.61328125,0.678713
40,-437.01171875,-1000.0,-126.953125,-162.59765625,-121.09375,0.678713
41,-485.83984375,-1000.0,-151.85546875,-169.921875,-65.4296875,0.678713
42,-431.15234375,-1000.0,150.390625,-139.16015625,-256.8359375,0.678713
43,-350.09765625,-1000.0,132.8125,-108.88671875,-275.390625,0.678713
44,-361.81640625,-1000.0,19.04296875,-127.9296875,-206.0546875,0.678713
45,-404.78515625,-1000.0,-9.27734375,-150.87890625,-165.0390625,0.678713
46,-389.6484375,-1000.0,62.5,-133.30078125,-121.09375,0.678713
47,-321.2890625,-1000.0,133.30078125,-104.00390625,-65.4296875,0.678713
48,-326.66015625,-1000.0,-183.10546875,-100.09765625,221.19140625,0.678713
49,-416.015625,-1000.0,-369.140625,-125.9765625,420.41015625,0.678713
50,-383.30078125,-998.53515625,114.2578125,-144.04296875,6.8359375,0.678713
51,-310.05859375,-996.09375,187.5,-136.23046875,-154.296875,0.678713
52,-282.71484375,-1000.0,-19.53125,-110.3515625,-57.6171875,0.678713
53,-353.02734375,-1000.0,58.59375,-110.3515625,-111.328125,0.678713
54,-362.3046875,-998.53515625,213.37890625,-109.86328125,-248.53515625,0.678713
55,-328.125,-999.0234375,143.5546875,-119.62890625,-235.83984375,0.678713
56,-313.96484375,-998.53515625,74.21875,-101.5625,-133.7890625,0.678713
57,-307.12890625,-996.09375,155.76171875,-117.67578125,-209.9609375,0.678713
58,-275.390625,-1000.0,134.27734375,-130.37109375,-275.87890625,0.678713
59,-216.30859375,-1000.0,10.25390625,-104.4921875,-215.8203125,0.678713
60,-147.94921875,-1000.0,-354.98046875,-116.69921875,168.45703125,0.678713
61,-81.0546875,-999.0234375,-371.58203125,-143.5546875,283.203125,0.678713
62,-16.6015625,-991.69921875,145.99609375,-157.71484375,-227.5390625,0.678713
63,38.57421875,-997.55859375,-8.7890625,-147.4609375,-352.5390625,0.678713
64,141.11328125,-993.65234375,-86.42578125,-114.74609375,-247.0703125,0.678713
65,234.86328125,-985.3515625,199.21875,-127.44140625,-328.61328125,0.678713
66,186.5234375,-998.046875,164.0625,-173.828125,-338.8671875,0.678713
67,192.87109375,-1000.0,46.38671875,-197.75390625,-294.43359375,0.678713
68,268.5546875,-1000.0,61.03515625,-209.47265625,-301.7578125,0.678713
69,368.65234375,-1000.0,147.94921875,-193.84765625,-386.23046875,0.678713
70,367.67578125,-1000.0,114.74609375,-177.24609375,-385.25390625,0.678713
71,312.5,-1000.0,-62.98828125,-177.734375,-218.75,0.678713
72,328.125,-1000.0,-203.61328125,-182.12890625,-134.27734375,0.678713
73,383.30078125,-1000.0,-118.1640625,-159.66796875,-257.8125,0.678713
74,328.61328125,-1000.0,-164.0625,-148.92578125,-334.47265625,0.678713
75,269.53125,-1000.0,-242.1875,-157.71484375,-250.9765625,0.678713
76,264.6484375,-1000.0,-235.3515625,-165.52734375,-219.7265625,0.678713
77,319.82421875,-1000.0,-217.7734375,-172.36328125,-243.65234375,0.678713
78,304.6875,-1000.0,-160.64453125,-164.55078125,-294.43359375,0.678713
79,190.91796875,-1000.0,-491.69921875,-149.90234375,9.27734375,0.678713
80,144.53125,-1000.0,-601.5625,-162.59765625,224.12109375,0.678713
81,173.828125,-1000.0,-196.77734375,-159.1796875,-183.59375,0.678713
82,188.96484375,-1000.0,-302.734375,-167.96875,-279.296875,0.678713
83,102.05078125,-1000.0,-477.5390625,-179.6875,-146.97265625,0.678713
84,63.96484375,-1000.0,-430.17578125,-159.66796875,-180.17578125,0.678713
85,123.53515625,-1000.0,-271.484375,-138.18359375,-287.109375,0.678713
86,131.34765625,-1000.0,-452.63671875,-120.1171875,-260.25390625,0.678713
87,28.3203125,-1000.0,-719.23828125,-149.90234375,94.7265625,0.678713
