,Delta,Theta,Alpha,Beta,Gamma
0,56182.693251994446,15040.461043693973,8446.681228273883,3903.99230968625,1927.228113295089
1,35906.446395748986,15886.20020458012,8867.492598161432,3901.427047403639,1576.100687745485
2,10130.601802943731,8376.314495654466,1377.644100093664,682.5718014105353,488.1801873154079
3,53202.17965462797,23454.33664452202,3953.7559988036664,2353.354109687024,1460.7023885764295
4,5653.376461819331,6161.420373422784,2202.6484516610135,1146.9559154429207,890.8603732871088
5,62444.986657744215,28127.736733559464,16166.470035847826,3817.600454115807,1438.193183672697
6,40534.59196702764,17168.09155342868,2030.2358260783378,951.795882830595,394.85413550438795
7,27417.003127856395,11969.814825372529,4246.506320136961,1733.5728184823001,1046.59651803124
8,4930.626833393296,3028.376846788737,1635.277102733076,767.2454301306124,499.1401943300464
9,29393.98212071459,14327.678611623442,4651.341538047434,1988.5696906719077,552.9758309911357
10,12282.277074845104,5586.444869754903,2567.2445748511254,968.5871098887269,645.3065933564345
11,6795.116766657291,1617.677783101725,1307.1968598354968,673.8446727642557,473.97520484225754
12,8915.307152261112,1832.150032954993,2056.0569674190347,743.0146991321955,411.0044520516256
13,10283.196100618608,5723.374581006039,2261.907079907981,988.3766563228323,501.91994442848807
14,12805.767428376197,6551.55868041292,2097.8438067968136,740.3946314287797,400.6806981074771
15,7843.181195948614,2933.1825516118934,1662.1988539718739,638.928602089902,338.93406674263633
16,2307.0622076676455,1459.4234081033724,2081.2003072290377,832.2359591883961,269.3193243715556
17,4968.719976340956,1285.6761776881417,732.920241004397,592.3733253238337,351.2662408969364
18,1654.4821147442801,1151.262204049191,637.8877602038775,475.37913549033556,332.43499830708606
19,8035.101660682343,2943.5422195835154,1304.3243683497067,599.4365319148146,409.55800960732995
20,10715.65764663462,5245.075558805966,3574.0841194109344,1098.4893121847008,751.1530145784855
21,19017.33904239515,5169.248849032219,2871.6269742845006,1843.0150457789055,676.0255585737679
22,27887.31664043118,12300.019041478072,5520.53056086846,3140.246702868286,1456.3861755999071
23,40334.48468274833,10390.63294849891,4247.914622389615,1684.7228812528494,1359.8953093917714
24,36722.5629050006,17625.017467804453,7585.876110266217,3788.0270295398254,1941.2048473229793
25,35009.142803989955,13062.52425189541,5605.250889268774,2791.853225995617,2083.576664021938
26,21049.94818642829,13419.52241062517,3110.7932578906975,1337.910383032864,1581.996081866034
27,21721.39822308652,5085.220763770577,1953.6978531866189,1008.8597680747162,1216.0328112572204
28,29756.374402249035,6325.919482046098,4207.969158380778,1848.3939639114694,812.5589737843458
29,42787.18681965541,12964.374315081175,5363.541460126051,1977.399318111265,1528.469477492413
30,7734.640170421611,3349.3907550743234,1895.7364903159134,1002.7237073953804,991.9709934910206
31,5336.079301957273,2121.6909515392044,986.5034629445814,1042.3689684114838,1184.1664670329021
32,15645.14457423406,5630.123571237249,1758.6499792792376,1344.2449053889413,1204.1424706782102
33,12819.253221799248,7127.05802328377,2880.879465592481,1041.767813687772,942.7955906152182
34,20691.86022409857,7357.589239876672,2432.5399869496314,1203.402048879956,950.7263965428848
35,11576.149460902785,6810.191545054391,1406.0113147972613,1250.7094205433245,876.878919353244
36,5353.719506520389,2421.530187266292,813.9142377421176,726.6370157013203,673.5017245455483
37,4270.838434378187,2922.679009935369,1787.5735860535176,962.7538656103834,653.9834864036094
38,18544.295961874977,6751.593620948192,2196.0306467275796,1348.8286092588917,1368.9556766476446
39,19476.03418874126,7111.397018623082,2469.173003935918,1657.736983435765,1508.3426709601642
40,43246.53483113318,10395.338580697682,4307.54801949262,1808.222749877187,1029.364638454296
41,16510.24125968043,4608.405107275945,1409.2407303565903,1407.5988978800017,1713.1902785323518
42,12150.827818484575,2428.0452005016605,1284.4324157051865,1842.6857340799415,2122.1270752465934
43,11188.000430213775,6769.248592537028,1320.1007139069536,1965.8946294175364,2618.694984095828
44,44192.85639233605,13927.55657635927,6320.266781947673,2697.7458962770966,1929.030057990481
45,54904.44879275457,14731.051974756354,6215.784456677991,2830.600574473018,1646.439880765932
46,25550.607505982145,8685.787379376221,2689.2503596452766,1633.8912744024599,1436.5222319153543
47,17177.86207365841,7230.760879557758,2203.7976518527908,1742.0027207622882,1299.1709614867018
