,Delta,Theta,Alpha,Beta,Gamma
0,2310.567072612324,1372.4680239003762,832.1705023599264,523.3793351489132,341.6463801802524
1,20663.084886435547,9324.830258240201,1530.90619409677,1380.1737509266559,627.5976553975352
2,30130.80219242401,4581.445476737984,2937.822654133978,1327.102647506687,1375.583751461939
3,39765.81641010701,5147.2968479460005,3593.7387028867097,1742.5591823484508,1520.9702937180186
4,23575.484787878973,6840.054267626703,3602.6128435789674,2169.106073546227,2624.5356872527723
5,15094.091538365177,6381.6112189104315,2874.4449201350512,1870.1105447033267,2561.1297848776776
6,13677.63029240202,6208.303598637041,2309.0793035414763,1847.0360538301677,2366.707434453628
7,53216.85955117912,13626.26948898791,5602.255167157418,2061.927663610329,1368.8585096879906
8,45057.37351145601,16593.958512699508,8090.760785599945,3184.300268348618,982.471208541709
9,48677.43008916131,17589.654978630562,10442.625274980679,4212.652019251455,2263.761955315403
10,62903.90494735098,32162.849976522797,16006.172499452941,6311.344579599201,2464.390876038681
11,38182.578038221225,29908.89256018623,18072.612288180168,5875.198798612378,3066.0307445242497
12,74605.17377620182,32005.098313482704,12405.922539395498,6320.960625272007,2226.7800710006168
13,68849.89405649474,27271.423700540698,16997.81167865592,7706.259912299605,2952.9422215451355
14,69179.2914785911,24534.46621105958,12014.80035328764,5779.3798668945265,2205.066059896995
15,65417.35761543838,25978.882202816447,19082.00032659457,7149.739547504768,2993.162690902519
16,56235.61091810368,30800.062266195127,8961.718995273392,5475.345146058677,3640.6930391973688
17,2.803973317553913,3.2751877844306954,1.400232379390284,2.6464078889606655,3.3898210461308853
18,3967.840543700378,1833.5733840335552,935.012262470102,916.3418314259616,1183.5056153437204
19,9248.727841194777,2481.3579193202263,2877.229488943367,1680.316956225982,1249.6111621418474
20,10464.296887322154,5715.702697947127,1679.3849999483093,977.3508963595546,1047.4560153475456
21,8801.976625943425,3795.7726303091645,2254.042883345481,1039.4175190055541,666.4355772880132
22,7375.214734933449,3955.7034190619333,2031.3620440064467,589.3390843190631,533.9743227917214
23,7550.457858058096,3479.84274161595,1716.639556547748,1126.1750822154165,822.6814248959411
24,7958.236623160713,4152.556417109435,2218.6764099576167,811.6125467431964,561.5089183395653
25,43434.66090756264,10129.63194197581,4467.441893355478,1320.9764415463262,550.4486270109186
26,69398.5048938083,33864.32560370562,10755.38451728525,8137.40609791936,3253.586469473373
27,41355.99453791342,32960.13882649571,9756.8100915055,4908.346647785422,2088.3652075679015
28,27274.84052086003,22983.570099835273,10893.274081345673,2581.078773924158,999.0574225690716
29,60372.988197181534,40659.44716135977,15699.063737472501,5319.092492170163,2229.325041282192
30,45935.598033091985,17953.619695673347,5855.9598219653,2386.738582879603,680.2750765260671
31,1656.7891832486348,1406.922661496536,1248.15005270151,682.37911669661,205.4673116440085
32,34334.67803112582,24084.347138970636,9482.401255466108,3165.0858708991473,630.9417874483627
33,5305.2081677202905,1731.907852490234,655.441425035739,559.6164523469251,286.19589024607654
34,2656.875939581494,1285.769038731246,874.9148727106528,511.7885150975273,215.39185699189935
35,1760.267466370291,1133.6600340050973,1108.6088511600951,436.7769202348319,226.99034683983797
36,2073.0438526898383,1251.0381916473993,958.8908942922944,405.5199153264449,260.2991450949926
37,2408.4729913422602,1408.0680289643408,917.6374722649028,440.02554977900326,231.02174770746717
38,1168.595118348129,1322.2772397338772,484.4314113130664,406.82281043526046,212.9267139845276
39,13283.934686078039,1854.9273982434293,938.5328567059869,356.9166012126967,231.08419595924525
40,4638.164819649793,1076.82371471996,872.2175655869632,334.73874078483607,218.28020037584753
41,2600.8965340231935,1743.6896928867636,796.524068526544,435.0483867933952,207.72634567874206
42,1788.6089177295958,712.3157965274152,658.7453379515098,277.0980834603019,186.39380383306582
43,1126.4846530837312,1000.6642548168097,962.7746469885402,363.2000092638541,146.24284790707398
44,827.6328166310008,518.8976113074641,633.5841816610932,295.85399025620256,182.4016108057694
45,531.7166702156826,608.0241037164018,750.956901089708,293.7359373836937,172.8779410943867
46,1776.6066546888705,1151.4554583729548,994.5439732720166,315.4165692028815,192.600624539019
