,Delta,Theta,Alpha,Beta,Gamma
0,21485.48461015839,4835.7171717273,3087.170200685793,1410.659376809232,492.536339343636
1,30450.252221099054,11329.6102360841,4678.827238873112,2056.6716633187275,839.8686796365397
2,49428.14404539466,24037.855254233215,11372.792577019372,4048.1794679280283,2015.1135750192095
3,37085.3379302466,21637.792871955324,6260.771396087516,4161.291503995891,1472.5801928684366
4,4.992185063705024,4.0566336581111955,3.548050196584179,2.7581755884554284,2.560155080028386
5,51451.56589410411,23282.290401537408,11646.324548908302,4397.140601640693,1721.8896300595673
6,62764.2029098831,23688.21778563438,9418.831153850784,4822.699723626807,2384.3397469398296
7,44289.55014728698,11456.435252878402,3056.9812642099837,1788.0697615350437,1729.636344326103
8,48937.598046454536,9806.500593300998,7446.927005175776,2912.6170578894125,2268.873953210812
9,34970.48568906963,12618.313106841038,6619.103103316751,2883.456151866787,1362.2284068595732
10,30046.788358762613,6567.008957242844,4424.7888566681395,1995.9921783481313,1118.3165495809103
11,55410.520358832044,31220.389291749198,13227.723488625832,5692.298674306237,1673.7731719291135
12,37045.13864044359,19174.90993927786,7467.8986039709025,3617.525703708883,1957.3424199806109
13,24642.80007799568,16599.583189416764,6085.314896045346,4510.20105078707,2477.6449110399426
14,28669.2019926386,10394.272040843607,7746.163927068896,4748.48537659051,2089.3104073841987
15,56233.288416984244,36535.252548145,16639.341983822153,6646.565928159328,2738.1529310972624
16,62446.88641513367,22744.11947415168,18292.757867952514,6238.29531420603,2421.73714817559
17,53798.89436114121,37873.57781670741,14153.440014939446,6506.512874541485,2736.7221676593044
18,16546.26737422784,7733.8584812681265,6774.208647184474,5524.264004533652,2328.112938893561
19,47028.16484557144,20385.430300708897,15068.994087587289,6986.495755773681,2825.845757693286
20,23042.845323480666,23222.239017002474,8457.641672108857,5122.832052681467,2640.910445329063
21,36818.53696296585,37299.06804123376,8289.749694427377,4986.158411455871,2456.0325763155706
22,36625.83131122657,19975.196417345403,11389.171949085538,5341.777898195406,2441.1593751161836
23,24871.684080531562,18848.56189393226,5856.399183361765,2812.1958755489145,1270.9061483617047
24,33842.51248338145,18408.137615653377,6505.899526136078,3765.0857382568747,1851.280915718417
25,39386.2133794119,12278.725963217554,10706.62076558654,4022.203136082826,2027.2182125611816
26,37370.12541674041,18526.855160261235,14860.670262557693,8599.093918117094,2498.5418563639314
27,45041.744770753015,14578.292882032896,8939.036442682527,4094.640634538307,2067.548350665802
28,14472.974450131513,12783.237234708284,8380.738575126794,4080.18298354406,1633.7691502307823
29,24880.37529913231,13506.002994055354,10875.873433299532,6943.872978241328,2489.2533067081954
30,25848.894306706286,28818.301679320713,16926.97300462128,7824.513027846318,4578.505278396494
31,59961.12344704253,41784.641227756074,18727.725124803557,8383.640192800787,2946.845489972333
32,63267.63826171975,21577.98611858302,12985.92100460848,5138.465105505068,1827.4605978343388
33,63026.43723282535,30697.603491593778,17726.910973472426,8500.203485089069,2803.0722466990132
34,62920.59261489756,33380.480206959925,21022.979924680494,6626.726875731755,2773.3376411441045
35,42655.127662603736,23136.335907486235,17674.52270294875,7692.579032438389,3089.855747143766
36,59727.61046859416,30363.29906003994,19118.047333997598,10054.431553601886,3289.37215456405
37,60097.757946356185,24072.056814490996,13623.331062453313,5969.861796123251,1879.439585817446
38,34602.63964638497,13759.680948392332,8257.516378634278,7876.598600563949,3182.977082413189
39,2206.8432312006244,2222.267998249306,1128.0514495737748,588.253227956857,316.51101851202736
40,28976.243756639025,16248.467677104072,3473.7072563853826,1825.8380194632355,821.8012603455344
41,12488.853583057098,4224.823277537319,1336.5368918863946,800.9905979526126,399.2851103273523
42,9429.762835785823,3143.5722291662737,1569.7399312222472,570.7092758033572,447.1575942557809
43,42105.72971900809,14781.343553222085,7843.183537939546,3440.0794106403227,945.6866235133097
44,32789.361146493444,10577.508755245744,4384.137064782506,2124.7612037413064,1140.1454996755292
45,39377.0321221873,13921.534784372547,8945.531234622107,2777.8013371116576,1355.248909054449
46,15507.31153669061,6196.478606186468,2705.38172013212,850.8349475132484,556.8117350339083
