,Delta,Theta,Alpha,Beta,Gamma
0,4392.750493212937,3748.8792954673136,2259.055405260443,1258.0242802578503,1215.8249215776596
1,44148.68479534272,14192.295369381201,5903.74954515093,1864.1393465542362,1206.2173304235735
2,17135.73635445054,2830.025099013379,1396.7069975827212,1080.0609926655225,1142.481685022931
3,6428.799260905222,2751.4387073247353,1602.4009642723388,849.9733249383573,699.3253794883602
4,15017.129769062682,6182.511096435405,3303.535128139419,1288.409803944531,1048.560152838626
5,16886.89344430535,5402.948638367179,2202.0828340489406,1852.0370800401108,2272.3898131404894
6,14756.929429636955,5239.970411838244,3500.3592071473795,2240.4206768234567,1821.8207399628393
7,21700.63979517151,18085.125062945855,7887.976173370744,3427.4477311015085,1484.571679309964
8,45194.38824895195,28363.248411194578,13476.30113199363,6679.587869985111,3628.181203855151
9,50124.543283821215,28318.270577350133,7906.059206322711,3367.499188382266,1044.386766056787
10,8299.702823381806,4564.833722951855,2019.8589141916589,1198.9179858395555,1497.1984957524903
11,8306.05748084657,6143.295519376707,1615.972980390723,1409.3874670383177,1700.5392482746802
12,17682.279321328275,15507.149514074641,3682.0833050526176,2262.4571245880734,1321.598556632522
13,17907.73858504722,8053.213985499135,5820.040518889828,2224.808542374268,1334.2621441961385
14,25628.43356788144,21193.309237723024,13892.079931553933,4230.29597566962,1803.1514609028613
15,13952.123056893262,13199.575699045092,6540.192179622877,1732.9522823771952,903.3892070230397
16,42023.32438882078,5235.80409850782,4598.536885483652,1893.3301361303122,685.9120930987995
17,22511.275106129004,14604.632594904038,10585.342807220168,7611.850598328269,1817.1462169343224
18,55248.218036387916,17062.098970462113,11233.484416717914,2605.20912025417,715.6620764667698
19,42292.52914556507,21832.819545651728,10646.565871121513,5067.537753121255,2410.2708546002646
20,26450.68276448133,16542.096626680694,7792.516931976216,2789.100430407636,1192.9880915591825
21,26811.50312814201,3246.8573384803103,2069.3599837915017,869.3291382613677,347.55211494588815
22,2987.7266263645865,2379.5496375038265,839.1348156901479,361.7465025516902,192.88928865768244
23,5629.783300958357,3525.660404138525,1024.500597606332,880.8634512877924,311.96233078306665
24,791.3448153315871,1034.1947306034929,758.4202525758014,320.19737030096957,176.19038019705837
25,26567.855751435596,10359.496931360312,3306.8688662174477,1693.7604926630881,387.2719434889012
26,40640.64479446799,15664.791678663847,9991.775011740843,3527.7981128608462,1901.8330441540452
27,23222.565696225993,5971.808706444632,4230.316631145697,1548.16354345776,601.3769367456741
28,12647.928411763034,4663.123226881257,1414.9822776033102,763.645290889864,346.2135162369207
29,7732.2393158701625,3465.6797739419844,1760.2123097259887,536.2604069987426,269.3102370864027
30,6974.368888681535,2068.2501101650887,928.7364668359758,438.0467322541722,227.3040347826275
31,16453.817616435757,5522.46076793131,3953.9859312775125,1453.7538781806975,764.8942053002993
32,27196.155320524755,15413.240880523232,7177.624805812598,1891.1502225860684,743.622166178579
33,25939.842233326417,13144.337331503168,2555.5173065120493,1743.324033290913,614.0813660675633
34,5035.763777338078,2007.6026213892287,1904.7342972937192,779.7526006990887,395.39389264988813
35,1224.8876890389502,1688.6374835842885,986.4123343901077,372.2682560311361,177.0890677129111
36,1164.4017970591542,1210.2364478261052,733.071981628919,245.78898873377946,180.67955477511745
37,1516.546995265499,1501.8186609756453,895.9461124064567,486.3618759569592,175.31581815573884
38,15238.978363544615,5988.934824214021,2764.972628507414,1310.4341341780516,512.17283550876
39,16633.326433126404,7699.740719661205,4319.62858042651,1376.2560357999887,611.6137575918332
40,4106.807753803773,1902.1080180666975,1533.3078797841483,783.94692147434,357.545747432706
41,8234.765347768303,4335.546050195695,1310.1218000527483,438.1557791277411,217.78834451493708
42,1473.945239389112,1036.2843367316748,517.4866889325292,317.9609711297209,261.4122432633854
43,2660.4640111746894,981.4486422435994,1051.2283952917096,427.5443236481092,227.84218250976068
44,13210.916237268877,7252.700606746668,2556.2631192635927,967.7281999926988,352.9673699638587
45,25958.590657206958,7728.986658387084,5341.853574221891,1690.9124885563754,849.493494690518
46,19519.898317616164,6351.304366191882,5353.071289288815,2021.1040491289382,1274.5726337735036
