,Delta,Theta,Alpha,Beta,Gamma
0,3155.556989090327,1463.2804817424462,434.8308712431534,466.59564963804905,256.69603806111456
1,27742.76559590852,9970.04929988873,3740.935520526689,1221.4511845924808,855.8498697777627
2,56131.67523208932,19479.253588986976,9174.716332077352,2756.3069834016937,1085.3757051739567
3,48265.95200235229,29110.8766516632,6143.572340547749,4334.473472568175,2449.8419243965477
4,19088.778798242038,7712.229607259843,2932.0047073476153,1702.662637878682,1005.4381570912153
5,57981.49756542657,14887.811264504015,8185.639793053264,3031.941602283401,690.7571319133725
6,65106.60690377547,15558.47720429242,7266.548168094712,1742.0672531932746,480.1982891835088
7,51510.719152647,25139.66750193615,9712.320601326868,5012.388933191453,1791.6775690739585
8,62130.376897070346,32727.607512024944,12335.90805945163,10876.905535569604,3104.728285948788
9,46041.29021929816,53873.30433865333,21204.67700114358,10481.767022517459,4560.0958524410335
10,65805.1600566175,39395.29615242696,11858.426856752647,9274.878868138287,3089.3951892357254
11,62868.95675086997,35370.002559206674,13423.268604796449,5498.693190056718,1831.0627787428227
12,60753.56944503997,34477.72810014681,17991.233340119452,5733.557648435994,1918.0716516618015
13,48957.55833194264,23755.37031194084,7180.155190463466,3119.1101704146117,1344.1481041183627
14,33634.76259249478,13334.925793455584,7093.330618846548,4249.836589798655,1812.2997714245694
15,31854.11695548451,5695.984696636928,3005.83444035373,924.6113046649227,705.1503666396629
16,13432.88986255394,4658.242306849973,2762.274317074019,1098.5464954566821,553.6217679539267
17,6302.477975022012,6451.952835376655,2890.8889004622906,1363.086122719593,856.2984369112432
18,23425.640279719428,8998.222115395978,3758.2340312406245,1246.8234211336137,691.4350251375787
19,30016.37277235393,16755.548388502204,6004.396400578134,2998.272894151534,1528.0969511916921
20,41657.44722080004,14329.391094863204,4349.637446035315,2913.4687807943087,2621.8496467365017
21,12890.344670880242,13077.79035438625,1129.1979478750447,610.2974529378083,731.7744058151225
22,20884.1444493971,8694.25952725197,2720.1149153090105,991.8994775294657,699.8628623457482
23,19812.383914997972,4842.7713723613615,4278.100256965224,1739.0825475941908,642.9256432212251
24,42729.156248284766,25127.994125898334,7661.281159717437,3571.73773941581,1904.3590874755741
25,15474.080549282142,6820.941620255682,4433.5280568776625,2679.811147983987,1175.4165497220222
26,34351.09072736619,17659.463656607637,4797.112006496788,2167.51630537749,1157.4435635999225
27,56931.23921524376,19395.344428172313,7344.220226611287,2536.5414345346303,1299.205334644303
28,7220.783135662314,4796.1413989179,1867.6445227754689,1331.12398973371,553.9042472845987
29,11941.019981465828,4840.8856067393335,1761.6473715455827,1011.8379534802788,543.9357933243771
30,5904.6690810355985,2158.08866500912,1207.4203365533954,577.6956856528348,387.0273047899756
31,8156.918149129049,3908.611236042352,1270.3169387419262,617.4480799390018,457.6343668791069
32,2651.452162014134,1607.8165367168235,1035.8756574985705,721.6770910082174,580.2401485748246
33,3639.658129847688,1191.8466666433283,890.7932212044832,656.8649101437637,529.3722085905234
34,2847.002492522636,1584.0489734652479,1064.5256514348598,575.9789886014663,597.1744367907164
35,4358.983474630864,1728.5068853880382,842.1892107245101,581.9554833020912,401.29209343230184
36,2944.8079720942947,1197.306813322608,820.8781749080139,425.72290648225635,396.40724368341415
37,2399.7007548344736,863.9424226541695,547.3664652864458,533.1892258439375,466.3238927535461
38,4167.653881099774,1561.6733372096762,808.995063321822,459.05627173149514,360.98089966612815
39,2133.1924229922415,1599.0423256861793,841.3857399477171,679.3679499351856,435.2535870421564
40,11812.221559217054,5015.222655436522,1994.0025948139169,887.48894241565,441.73886595617677
41,6417.141513685379,2976.9223457210137,1176.0647939739943,532.0525973878309,375.0351389585743
42,2749.5379155218925,1605.9667119003814,1159.215854592249,391.56992315027276,333.1671493332778
43,1641.0177476316137,1157.8551774504535,892.9785452925076,408.35564710724674,313.5961153118143
44,1935.2332691175754,1072.2771768758935,905.0329947127073,342.2301365797378,331.51708510729594
45,1873.0459588319075,849.6520360579547,518.8619033722739,420.5220175239355,467.0282349987374
46,3622.374244406746,1599.7862674699322,1240.9165683595136,534.0999277462115,466.4291823925293
