,eeg1,eeg2,eeg3,eeg4,aux,time_since_start
0,-5.859375,-30.76171875,-51.26953125,-27.83203125,-173.828125,1.002347
1,7.8125,-38.57421875,-51.26953125,-20.01953125,-176.26953125,1.002347
2,-3.41796875,-31.73828125,-31.73828125,-24.90234375,-54.19921875,1.002347
3,-4.39453125,-21.97265625,-22.4609375,-22.4609375,-63.4765625,1.002347
4,24.90234375,-15.625,-48.828125,-8.30078125,-177.734375,1.002347
5,55.17578125,-12.20703125,-63.4765625,15.625,-121.09375,1.002347
6,10.25390625,-43.9453125,-39.0625,8.30078125,182.12890625,1.002347
7,-32.2265625,-53.7109375,-21.97265625,-14.6484375,237.3046875,1.002347
8,3.90625,-43.45703125,-21.484375,-23.92578125,-48.828125,1.002347
9,12.20703125,-54.19921875,-41.9921875,-32.71484375,-72.265625,1.002347
10,0.48828125,-61.03515625,-20.99609375,-20.99609375,27.34375,1.002347
11,13.18359375,-65.91796875,-12.6953125,-20.01953125,-119.140625,1.002347
12,6.34765625,-65.91796875,-49.31640625,-40.0390625,-214.35546875,1.002347
13,8.7890625,-73.2421875,-59.08203125,-27.34375,-92.7734375,1.002347
14,3.41796875,-61.03515625,-62.01171875,-19.04296875,-1.953125,1.002347
15,-20.01953125,-20.5078125,-36.1328125,-32.2265625,-170.8984375,1.002347
16,-15.625,-1.46484375,-1.953125,-18.06640625,-275.390625,1.002347
17,-10.7421875,-16.6015625,-8.7890625,-20.5078125,-80.078125,1.002347
18,-35.15625,-41.50390625,-51.26953125,-52.24609375,111.81640625,1.002347
19,-42.96875,-51.26953125,-61.03515625,-52.24609375,-50.29296875,1.002347
20,-33.69140625,-37.59765625,-47.36328125,-45.41015625,-144.04296875,1.002347
21,-18.5546875,-44.43359375,-45.8984375,-31.73828125,-54.19921875,1.002347
22,-2.44140625,-66.40625,-33.203125,-9.765625,22.4609375,1.002347
23,-16.6015625,-61.03515625,-37.109375,-33.203125,14.16015625,1.002347
24,-37.109375,-44.43359375,-44.921875,-49.8046875,-89.84375,1.002347
