,Delta,Theta,Alpha,Beta,Gamma
0,20502.396954194293,13241.48685476292,10451.297947113379,4586.226536311119,2110.491666971451
1,42006.57020316494,15185.346363703735,7871.046161836268,3744.574366447686,1427.5337520537678
2,30706.965625532524,6319.847589582148,4132.345273483122,1359.9987594173367,462.3926119781486
3,4455.958676406462,2383.409052442192,2402.4048453493097,1086.5675534520665,301.9131648845196
4,14746.046355073893,11751.096635540162,8730.858917827834,3610.851764023438,1949.3903194825239
5,26864.718016565377,10893.398328924008,4762.114769148537,2097.2559371289876,958.1231452251417
6,20058.699760007625,10753.455338576185,7167.787759751785,1695.0593639512874,573.3258980850754
7,17495.785361718812,6169.902706967734,2946.7277078951074,1100.8676207693125,624.5077356200602
8,18785.679249881636,5783.883277749987,2992.409872072548,1126.0189760812814,517.9995803132746
9,15288.653097684417,6370.533146685477,1818.4552494506847,995.8278967249747,408.57068545560276
10,13038.982539580371,6281.990494848026,1992.076380002789,1122.0321639596314,366.1206309883303
11,14173.91037104622,6629.051119034605,3421.964480393087,1737.2529474795497,525.9589920307886
12,37835.79475144884,14797.575999248262,4597.493831418052,1790.7015518947267,936.6014720276078
13,26206.453184061254,17318.363370115138,9421.193939733314,3897.880025275823,1506.3506591638925
14,12348.625796846012,4231.571823923271,4514.4680799355565,1306.4544767593338,391.9859658193324
15,18838.947386735766,6238.177015395452,3244.9259549575117,1060.1015818133767,516.0669152493616
16,35264.09538014018,9990.247023228736,3524.1268171286647,2734.1470319302725,1399.541853328161
17,33037.85679900114,8887.628833907953,5499.498704319891,2394.146580731317,1312.4963671499668
18,47580.77942392516,18239.082859841154,7844.375519195067,4740.71556591283,1159.0227344315877
19,51964.25692919236,15289.539053634084,16416.208046472002,8119.067917557698,2038.9128273354295
20,35708.89203207627,21569.25813670832,6155.779792437015,2995.3238788652225,1154.657142969049
21,39531.037027701685,8215.838861570086,2574.0195164638526,1750.880900663069,732.2864062736111
22,47918.403260476705,8642.486488494653,9055.3182565659,2044.7596613336461,1242.639830208826
23,54877.90652775179,17554.393394096172,7587.822708940264,3780.931609684154,1291.090872920024
24,58247.55071476225,20855.19726748366,12026.151428011946,3264.666815139491,1039.7523477431776
25,38422.598813062905,9892.825997258851,3741.835674432691,2313.4746581860545,978.8844357657441
26,31661.035585215828,8026.136754412972,2448.2663231002666,1223.6231443687007,572.6861524571368
27,12486.888808364974,3977.124119412066,2670.9287988494298,1222.816813671974,499.88770970842694
28,14043.316010223309,3280.245058402949,2160.985881505107,1167.531852965257,375.79149918678314
29,11153.368633758559,4978.898495791028,2470.2925091605566,1031.1037647805824,375.67853797954274
30,14516.78642400862,11175.009941788503,6718.799093233593,2150.2990066630023,1041.32193028488
31,52301.59620350493,30690.45724401525,7642.982883962466,4454.695472471228,2211.988255406782
32,44536.801257165454,7231.642660872489,4387.701961833343,1535.5728605623765,422.4820113906345
33,29301.92438085679,17462.068995219037,5160.430713360253,3103.0044850290687,1521.4789409837708
34,33706.11371821678,3043.6256374335817,2755.2443096466122,1436.2494869081847,499.5527036950646
35,13668.984594845437,5761.772023828034,3380.4620933090905,1130.2569563534532,376.3525929241211
36,30703.309597649408,8709.635694113764,3218.641522529392,1176.2202950659953,602.7562161397101
37,11411.650843091804,4428.751133686721,2603.972630557537,1153.5374252500537,655.8907204734123
38,6023.399753050766,2853.682627047143,2663.90014126689,703.4336670676724,408.57163186158886
39,5926.783899829878,1064.436722758769,1213.7711033809076,804.9991083008987,367.6874376722821
40,3470.168427616693,2116.141243898098,925.5622511626743,668.4010660610102,524.7469912641408
41,3917.1633927105436,1842.2963007941125,1152.0326951697893,575.0476964957874,302.5469502778793
42,11214.897705844429,3763.9140537063568,2277.2274793378647,749.3320482862404,295.1652541873008
43,14405.434036475293,4942.920426611538,2517.6181566530204,1327.417812828246,618.8700043199967
44,8201.925457101805,1956.685300743169,1535.2832509278767,563.2452461275193,309.03786704536435
45,7590.607913682417,2851.330317124342,890.0060164275923,611.2422636104607,284.3388905566747
46,24559.894001921704,10771.56524476552,3945.324173852964,1451.3391534645532,589.9338775395101
47,12043.449726081551,2756.0888370440616,1746.3502621019666,895.217427273387,337.85924565982936
