,Delta,Theta,Alpha,Beta,Gamma
0,17647.95836244692,6075.972026618847,2255.5647307410027,1034.605844312008,494.90763074241
1,53741.01318692453,17993.809434968232,10078.529586637842,4170.282368142605,1690.884162643507
2,60512.70085068899,19514.543953696484,9208.859691980819,3772.3223648798894,1837.5243141777419
3,30330.846944729146,21439.919207880637,8583.982098002087,3272.520211916836,3523.452493182215
4,27260.184196943406,8324.582254589988,8874.467428931594,3635.8643150605135,1840.1395865046554
5,37529.850947256426,12643.908510486883,6766.846407686693,2227.734897749138,1013.2658918460448
6,39574.00735612865,28352.94972831256,15984.647119292084,4583.350240525226,2143.8513084142096
7,33207.76206331674,18228.06741882569,5689.08541195981,3192.4814149147815,1292.5507884172046
8,53806.32165510105,19634.363998370034,8082.03404049845,2976.637382488143,1217.1897863561494
9,39089.5746162496,13798.324705518298,9402.76350341306,4060.386834872541,1720.66746286897
10,30267.67638923244,12799.861038111712,14765.187264255079,7773.09305284365,2315.972854806153
11,49813.84122243399,36122.590377425644,16792.25827759355,7357.571475116043,3408.134389772388
12,60389.05743540646,21638.00596346133,13569.193075070938,6685.6968028867295,1940.7087964058044
13,38965.773901849716,28810.848397962312,7201.408877514853,4358.27349554901,1513.0733148757752
14,26774.559078438084,24467.980438857354,15045.663993382299,4010.7070740799154,1531.5587818973595
15,41452.773670215596,15911.54203405816,7892.367323572667,4181.586876285749,3156.1956092088344
16,61142.11805158317,21296.578822315318,11392.77379381772,4011.709426552794,1004.9412935845143
17,55516.55347446834,22722.945640153514,12246.597871149057,5953.925657397832,2562.9436078404387
18,55573.26948663961,33643.69231623842,17133.19197413614,8648.546928214462,4092.3191196190855
19,60975.13750099956,19167.338613432366,11431.287833365644,4821.934712201835,2074.567175508779
20,60139.89646162347,18781.36983260341,9017.914510366623,3864.1760156995397,1198.978304747233
21,4.508330189573539,4.383621690325551,3.621524881971869,3.9714548831698453,3.588187863189954
22,5012.250471238451,2478.699732994877,1666.2527066366026,1117.4652024723018,412.84059656416963
23,13115.515444331491,5108.109995752716,3135.601003322375,1015.0835947774785,512.8612358281864
24,46388.30370864494,25161.221207000264,13279.278139728582,4626.0808393498955,1767.9823400779271
25,35883.86324971912,12596.679237026594,6872.934840199348,3449.1848149319817,1172.1887702593665
26,1024.7186234089602,880.3951528085544,799.0697033458777,528.8292671874891,256.16531534702057
27,29375.804823487244,8810.108660753864,5400.663214820347,1583.26813904545,419.12752990040036
28,13454.486249418725,8324.12580692727,2318.2557988519798,1232.2121944384548,800.1189593793367
29,10121.985782228505,2414.9482244967844,1618.3414013821616,685.4147729932146,408.55485220500333
30,7605.036454823283,2919.2765503739492,1220.1999749475294,822.6578670682633,353.3269970007117
31,28398.697907633665,29353.480423232562,13202.684101801811,3713.0635376235555,1844.9721866078291
32,49471.16628629265,28958.131191108216,9594.079699226515,5752.125223099361,1890.2159096517566
33,46302.72967646901,25227.8000579152,21771.18199712432,6549.766759342902,1909.0055909060127
34,33752.51364013097,14895.467135451903,7086.595335065622,2072.9007857734296,1192.2588609196337
35,64656.8494762194,30548.977529045922,18755.95601502268,6319.100105884035,2329.5617660251382
36,51178.240912032954,23876.14828060697,12859.441572606456,5643.184277103569,1768.3531912477115
37,69923.10910991991,23556.36977951563,10011.653961816814,4063.3469541651393,1371.0784694285544
38,53738.44382478654,22413.890519378758,10757.809295668827,5999.066461143087,2530.100865921552
39,31696.41416590914,24815.81100135734,19037.405085725495,8186.513126528076,2322.0703484741916
40,39018.52552360682,16594.91247261484,9701.902232065433,3152.263957560164,1841.9739672190578
41,26791.919847005218,14921.774790912263,5833.916957344865,2362.335256506223,1287.5613387941394
42,51647.46711739604,31019.454515304707,15900.33677993836,8976.783012352244,2969.4276033367228
43,33026.68620528617,8859.228027622328,2502.934968588982,2174.820527879341,1544.877760797416
44,14051.66654850287,2700.5423655484706,2345.9593370562307,1396.494690445873,1431.1154432879575
45,60518.548271056665,15510.90900511317,10503.288446435803,5156.369338266258,2035.4733959480072
46,45813.73143595121,22484.18348634109,14153.104401902503,5925.8653829844925,2141.7541834045164
