,Delta,Theta,Alpha,Beta,Gamma
0,40747.66488268066,24017.68261158606,9433.774545224584,2892.6517770035903,1295.9466402692087
1,64945.2458649261,20002.06923745591,7099.862479401822,3453.9020968261993,1344.2017812696522
2,2.3751047589805765,2.0206539347714148,3.4724967160991485,3.4214431083282633,3.7829571946664386
3,24339.21793275555,10831.309417434439,3369.3012429402756,1871.5695718841532,974.6753641677018
4,23555.06473886643,2598.823128747856,2318.42857478385,1051.5802007099674,596.007295220221
5,26359.998070548856,9928.108754623985,3477.7164187472054,1714.0631726397144,1096.7326967037884
6,24096.85503641284,11717.594053310771,2157.0071422459273,1436.5096537694333,703.9904445928294
7,20033.877491368203,3749.656185554441,1649.1209857937454,864.550466296947,525.6078012109319
8,12219.655804368782,3599.8927270250892,979.976636240826,843.5469721137156,447.4335754442469
9,6521.2530855555215,2466.6932646486857,1665.7732285652796,580.3401476537425,447.5935829468535
10,6765.477300721285,2986.9420534735755,1223.481981036043,623.1621069839846,307.1923517364123
11,9886.98652901836,2868.6196769551284,2391.1980073623927,1279.9509530130133,603.7144194356672
12,2574.8600868433928,2855.663656310149,1036.5136544240256,715.7938000460434,419.485569782824
13,47349.88297390652,8663.707114425324,3278.3959403085514,1225.7234294948678,624.3747893992416
14,56661.85284848309,25377.047612659582,7055.7597668002945,4005.4870150682614,1834.6776692441429
15,41173.04575513299,16057.182291944027,6426.3207376847,2520.543139103037,1442.306699836061
16,23228.09069490309,5136.174143347386,4504.738089089493,2356.6330895901833,1332.9368042781255
17,13998.177818057813,3126.4344923017097,2082.0498782170516,1085.4318922783925,723.0078120384187
18,11015.901656018124,3555.5507469849877,2993.8309691421896,1325.1149624209472,1316.3665053758066
19,19200.60630805389,9057.959381453953,5001.455341431863,1326.599845620352,1237.097567200001
20,45802.99382269067,19898.065655896826,7336.428681253456,1832.2653661636025,1089.6038652811562
21,12184.816713258306,5772.075320095207,3006.519574062263,1168.4702516570328,707.3640117197531
22,36256.79770171511,6459.964731362429,2268.401951644317,953.1798448215548,456.08293983664487
23,23890.640367437212,6996.9490433615765,2635.916012255659,1139.9979399344031,551.0018835032773
24,28513.77384186729,13104.47593433124,3989.641670446815,2034.0683866499076,715.9544930618467
25,40330.73284078723,9039.084315928387,4700.755395802351,2419.485633494518,1079.1324196116093
26,30814.795569215,34107.962921832855,12552.672177417386,4790.872042481588,1629.6631674086245
27,66062.40489997012,17788.19874840255,11012.99729661152,3679.185343466258,992.6641240828199
28,54860.941756118926,31099.97321428736,14582.638888400275,5681.09035492916,2979.9096005936813
29,4.495552709288865,3.5037938486042624,3.083408340712092,3.6874058470920126,4.444225738765898
30,66332.57815865084,22767.28360521175,17932.762005889766,5277.752017247214,2321.841584438035
31,41512.99674041477,15159.352661151237,7872.935366445074,3458.0158198460917,1020.2752868477714
32,17700.886879336227,9412.264631685257,2809.187262442162,960.5216384903171,322.88492547015363
33,49625.1594408193,11931.715621552412,5049.589504372237,1343.0981153044095,645.5643147683747
34,34752.06811842043,14347.321524545707,4906.156452648955,2969.2082854608834,1414.056919974343
35,4462.962564087449,1306.879252876686,880.3147575995724,540.1458400891044,308.5474041807846
36,14500.783636899301,3291.523540333373,2014.9864940417513,1051.0380050307185,530.6487605622921
37,4131.6863912314175,1055.756466262461,1351.0311651544678,370.2305743063608,270.24787104678893
38,5325.871679535717,1573.9195538631607,756.7423911099177,302.82530441910194,231.0290742399765
39,2889.20565842208,1562.6539975002156,1127.6037408416967,398.35237604378517,339.95662258806533
40,3918.5832442642654,945.8487276881513,516.8452822006728,362.70024787784916,234.11451597799186
41,5448.5874219281695,3202.233178951564,1095.2897693603932,450.0839016422773,241.8111720924781
42,3365.0313858633494,1043.635867321454,533.6927723705991,328.93306130607175,207.39840542493585
43,2643.2539812312166,622.3178531195244,627.7021752222006,308.42511031045296,224.57247524260995
44,1716.517511075927,696.1836217153958,510.88508007802176,369.420979472384,232.03452649167843
45,2161.0634456330063,1022.4153643690829,757.9986740644152,331.254319958215,283.1648375638728
46,2975.1788056285286,907.1148189911912,379.68574959212395,353.5942779440487,230.57777654838247
47,5133.643770586713,910.7553527963207,691.7342994737107,438.5788827291753,258.36992349027963
