,Delta,Theta,Alpha,Beta,Gamma
0,1804.6145718904886,1573.1956620666087,1487.3920626847341,1190.9680217646537,630.8917400571294
1,56509.3969404909,17939.683637836395,9553.791916980834,4284.73099144587,1919.5104060984158
2,37819.414357793794,42933.12435141295,15299.439493669208,7713.498633828362,3146.8172838936193
3,2.1878260804693728,3.1127356473006484,2.7776409473450183,2.8364391057052143,2.252920707220143
4,42656.07990675924,14304.558159743348,7802.9373685506725,2973.099920942789,565.7587656085218
5,0.0,0.0,0.0,0.0,0.0
6,36124.77262030843,38032.33624904645,20444.950634135384,7842.856613780994,3640.1913252106197
7,47375.654053745246,30844.205033055405,11063.09538336805,5544.232834110361,1924.5539995349422
8,58676.76604948558,18550.965938101854,11650.316898679093,4556.182330115227,1420.703760858214
9,64270.38187793881,22686.297211569727,9008.552444980603,4178.747378151456,1477.5563599319107
10,25014.081272006,15174.7563000663,22324.55006491506,4871.956857999938,1959.3001120640104
11,37649.04068098034,14766.197906981499,8476.439899282946,4120.486334769677,1835.6019752940836
12,62954.89607658614,22379.400410337646,12776.339449829686,4130.09872626984,2108.83863765963
13,39298.077368649596,14195.981558778518,8302.559165536051,3102.0927575623773,857.2811035702869
14,37991.48693167516,20552.44008011542,12492.80880114825,7266.536538127208,2046.7619316579433
15,44086.37663576796,16844.802168696773,10358.78755732607,5942.389803755094,2207.5533366760174
16,34433.60648050356,12488.877650386621,4949.54278584589,7627.095961469541,2254.6212505215935
17,66135.74079199685,21674.29444518896,14288.404475505176,6336.023266492568,2409.322417305592
18,64288.503889522086,37096.251410458324,15287.361808833715,5878.893849762528,3164.8232788942246
19,42242.842385496166,16582.230045707092,8396.774015292205,3830.7323130361146,1493.4867002345343
20,54693.92269306095,30433.485345341924,16732.259921504683,5785.315503834411,2036.000519765615
21,45808.55534499722,26472.792161390666,16391.00003084608,5520.027721630721,2770.082295426506
22,74143.96278489169,26689.383623223493,15120.427843911655,5333.18672146781,1790.580177116395
23,59618.15125876178,26674.487996554606,19996.102338697125,6830.69078076654,2836.427479776236
24,57706.47059061039,36648.05581442902,20546.36751787873,8698.015853770145,3940.104154661328
25,41929.470678227575,15205.504090285021,8942.819909741407,4747.777707121394,2429.494213980659
26,51347.94898754715,25382.51760806479,7863.946859684978,4890.7603333477755,1753.206887993566
27,12860.990123712274,13414.014636925489,10258.095391356279,2097.2392649108456,559.4488410941475
28,28169.450496368398,12621.430284711694,2981.0265258583813,1554.6349069344265,826.4580232514714
29,60086.207359763146,30853.466493052074,13353.429672141725,4186.452756477987,2292.893365574855
30,58154.90434372454,15274.522103558484,8641.669167781907,3452.9536144852864,895.3435271456805
31,37603.06177139733,16231.718733165628,4732.06302054255,1687.5933964327191,1002.795439170645
32,46073.552188654845,30807.1470313318,12287.91188058732,5472.132097340128,2395.0212623248467
33,61680.16375326384,23037.305197854315,10382.023309526536,5730.611023130978,2146.9977087840284
34,39469.13650120367,14373.29663111185,8271.756993162848,3174.0034596493524,874.7517170364108
35,56642.27891748232,33873.363839026104,9338.974158497493,6116.843373896291,2507.8531398776277
36,61844.55477256589,23436.424985711776,12969.131199773843,5793.476789587006,2005.801787145141
37,64318.93434719745,27213.88119675805,10437.94880195078,5983.992421633359,2538.923409508451
38,45121.12487752642,22529.55651568161,18620.401684960285,6494.733949881364,3141.914567471523
39,60342.03780120298,18896.667761276436,18766.549618520385,7196.834075038445,2836.2411118091704
40,61090.5171250291,31339.243314035783,13799.177060447477,5668.812002149186,2469.8941044553626
41,50274.0769485437,40774.916603287755,27221.13027100211,8316.568362682045,4166.006606129949
42,75330.11478539172,25553.571238407094,11309.526811686259,5718.784944538023,2264.3191987754617
43,60816.026253190685,25949.901806852857,14609.730064785905,6273.485455405625,2766.91141283118
44,66483.37200193497,30216.633269768463,11856.29889649895,5427.189628248551,2105.1031842298553
45,62212.448398326334,21585.41059643852,13470.829528470578,5341.910896938369,2433.2008979707443
46,29294.367904915227,23361.72874117418,7792.266554194335,3360.4418954000394,1608.3092889017776
47,41873.68630216239,22686.530578013146,7431.643513535493,3426.936882903801,2186.0969176261947
