,eeg1,eeg2,eeg3,eeg4,aux,time_since_start
0,583.49609375,970.703125,-844.23828125,-65.91796875,331.54296875,0.672758
1,881.34765625,970.703125,-967.7734375,-45.41015625,3.90625,0.672758
2,990.72265625,970.703125,-1000.0,-20.99609375,-304.19921875,0.672758
3,957.03125,971.19140625,-989.2578125,-52.734375,-190.4296875,0.672758
4,972.16796875,971.19140625,-997.55859375,-77.1484375,-182.6171875,0.672758
5,970.21484375,970.703125,-988.76953125,-29.78515625,-270.01953125,0.672758
6,970.21484375,970.703125,-979.98046875,33.203125,-215.8203125,0.672758
7,970.21484375,971.19140625,-981.93359375,-38.57421875,-8.7890625,0.672758
8,970.21484375,970.703125,-950.68359375,-132.8125,-77.63671875,0.672758
9,970.21484375,970.703125,-933.59375,-148.4375,-204.58984375,0.672758
10,970.21484375,971.19140625,-926.7578125,-99.609375,-115.72265625,0.672758
11,970.21484375,970.703125,-952.1484375,-46.875,126.46484375,0.672758
12,970.21484375,970.703125,-924.31640625,-32.2265625,123.046875,0.672758
13,970.21484375,971.19140625,-884.27734375,26.85546875,-95.703125,0.672758
14,970.21484375,970.703125,-873.046875,76.171875,-42.48046875,0.672758
15,970.21484375,970.703125,-864.74609375,-35.15625,100.5859375,0.672758
16,970.703125,970.703125,-879.8828125,-109.86328125,-25.87890625,0.672758
17,970.21484375,970.703125,-886.71875,-114.74609375,-134.765625,0.672758
18,964.84375,970.703125,-901.3671875,-53.7109375,-96.6796875,0.672758
19,977.5390625,970.703125,-887.6953125,44.43359375,56.640625,0.672758
20,896.484375,970.703125,-871.58203125,-54.19921875,-25.390625,0.672758
21,727.05078125,970.703125,-872.55859375,-141.6015625,-197.265625,0.672758
22,687.5,970.703125,-867.1875,-121.58203125,-158.203125,0.672758
23,831.54296875,970.21484375,-745.60546875,-90.8203125,191.40625,0.672758
24,963.8671875,970.703125,-537.59765625,-56.640625,123.046875,0.672758
25,969.23828125,971.19140625,-441.40625,-32.71484375,-258.30078125,0.672758
26,966.796875,970.703125,-416.9921875,-17.08984375,-251.46484375,0.672758
