,Delta,Theta,Alpha,Beta,Gamma
0,32737.9460578316,24365.144714392227,19928.549145383655,5156.958319285587,2226.051659489691
1,43708.691061152866,23176.03163736993,18066.200074254484,5648.26778463784,2278.093866302498
2,40075.150661738946,17742.260481696096,12114.982585689797,7572.722571141257,3365.1282115502163
3,69101.13189403621,38153.23232660446,11215.32103193504,7374.795004969852,2458.0033435845844
4,54478.38335733215,20686.472095737623,7087.01086559213,3969.954728997134,1486.9457588089315
5,38566.77158256361,27133.026218925548,9873.124395939138,3999.4558232517224,1684.9752760585582
6,35395.26583462639,36818.57436733381,25134.493583802854,10733.616856256212,5197.990273133044
7,55607.29393706047,32610.179663558047,13597.477800490457,7994.88891162581,2449.405189786846
8,56335.78059966926,35805.75499806174,14412.155074970937,7298.587720894884,3320.4059016425576
9,15979.663884754447,21633.423602865463,12128.134788484746,4899.61543087541,2268.4346723388
10,56192.76290207027,16249.816160509938,13827.344820800872,7181.786834245574,1644.2600683685039
11,64497.10650772769,20876.468057215192,16101.118796020284,6108.280147837183,2143.167548300504
12,57051.15082271216,38938.49630450064,23583.108226846565,11000.521830894013,4868.495787090391
13,49409.84858228519,23424.94431979106,16925.136974018387,6236.631586765658,3012.4667211623355
14,48434.36249402969,28226.735151502908,11379.649322419797,5640.063838741909,2657.5846975680192
15,56383.94417332107,42355.24086013362,18885.200509602826,10010.985067341848,4679.001262272852
16,52215.0048102689,27166.971643940942,18504.584573345983,9303.849371039376,3018.4581848000635
17,45383.43578304426,22428.87405031713,13496.160681167088,8474.678850521215,4164.897302662349
18,60268.55090459123,29896.14079756316,9847.672671617145,7476.806506346409,2884.6379976390003
19,54205.73609346667,36412.74631199204,12361.30827734149,8165.796149347329,3779.9148520232307
20,67065.62834545509,28581.195499529167,18061.599924782095,8251.538312881363,2131.4933086316405
21,52697.53367021665,21638.702086836023,20728.749836570623,8178.8547483376615,3723.2293070083942
22,49564.73660373305,41115.841306890376,17617.213752958163,7168.071517463317,2196.0800397287726
23,44737.88888877135,44970.427066035685,18218.860115344676,7737.676610422531,2949.136163670134
24,62918.494203024,30106.6653131495,11331.896200968586,5955.326105476654,2492.4368092670793
25,25756.582096718135,23814.708938082345,9771.814203167794,4967.636562730224,2048.08019013951
26,52319.23429161636,24876.728110312695,19842.51638042506,7596.75763159344,3562.37641737789
27,68656.01355780516,22456.338613500167,18619.085750230504,9447.720226711366,3073.4400045100488
28,40324.91456778268,25854.71889768926,23920.795814954723,9057.323295666009,3425.4537476884398
29,33460.204565454056,23991.877885543185,22476.448718203425,8231.870059434246,2061.504916406401
30,60565.80568570066,24750.102182166316,10059.961453908652,6524.817659350783,2619.022290634622
