,Delta,Theta,Alpha,Beta,Gamma
0,19691.811125436976,8792.17598430279,5012.849224667534,1474.2264681196732,835.5295949080033
1,24269.475137447786,6932.31018295507,2941.566348326754,1630.4298925562873,956.3521324881036
2,19534.72318644559,6195.197792555421,3102.3895524207246,1480.751655452753,934.0994792976804
3,38793.51797175994,21656.658212984985,10526.922903169887,2946.1426279182765,1355.422952395653
4,21652.54661314979,9866.708044210824,3293.4995681009195,1406.2612945403832,758.9266310271287
5,14683.468372496918,7575.7930271057385,3311.439041108823,1565.6784378166653,763.5756306643901
6,3142.034334183373,2616.3286306561295,2049.955406653128,1263.4999050470444,708.1389330181723
7,12805.355578376562,7745.821354503124,2573.183291261716,1105.3800462917252,720.6421456464794
8,6100.586760102799,5877.729454599741,2313.2998644902336,1346.2375129462932,872.8616275200917
9,53449.00907062841,18732.031584402277,10754.454077393091,4615.341477373466,1712.300262610489
10,66619.03183950635,26642.396360999035,14382.412102486236,5826.473339208233,1857.4945692464462
11,18918.96144661268,14652.351908101982,12421.200594377684,5922.2225904841025,2444.4954027955787
12,27547.862925227826,16345.66113727267,7259.486174964348,4189.398291303521,2064.7979569025188
13,56778.85760237571,18549.641322219104,9275.031687268933,2803.4298645948393,1509.1166472888522
14,29123.96238820711,12282.382900536455,6014.188009567173,1876.4506679405765,1081.2336810845518
15,45617.503773674354,24871.07884392651,7868.231827123321,4666.700674549041,1618.232671836254
16,33399.724221138255,17011.205994504322,7943.841548223553,2279.735218714354,1251.3544211762592
17,49473.61670320993,32696.32608965055,25456.481478281155,7896.171433893982,2884.8649785241164
18,44346.8139070944,24835.95054128347,8474.491162560029,5624.776977639781,1995.1878298898114
19,21478.850012834635,22972.27742333654,5784.364527150769,3766.957316039156,1385.778593112712
20,8704.605001190886,11145.530819000016,11782.025915492246,3300.4804840824545,1352.4855338461373
21,32293.066037993165,15968.561949658835,6126.06716151437,1988.7404377295213,1343.1252599897216
22,47876.72870943676,19565.71936870471,7407.54391015259,4794.290669830235,2004.5923988804043
23,12002.686856652796,18696.47094988234,11137.075605625276,4847.7875962265625,2181.4375091710617
24,56597.19605699312,20097.90785351444,9315.42261284348,5052.033482420776,1423.7776634615395
25,46395.514286245896,35666.62288777964,19179.515162737636,7473.271046069529,3276.3027335959314
26,57118.215878887684,34690.169551995314,14633.739190856566,5901.824624126018,2342.3370864463104
27,22312.95562985475,11666.548702222723,10751.734802354189,4900.6010611112815,1298.353032900605
28,14941.244574568162,7506.234012560639,2693.6802735121114,1900.7685270588838,957.4307980577273
29,44248.73534862408,22505.02692199966,12561.233596093098,5356.487852071004,2635.328191502047
