,Delta,Theta,Alpha,Beta,Gamma
0,44352.775077510945,14402.320248136279,5770.273860910957,2365.6684724338666,1496.0702510340793
1,35366.64571031178,10549.680934528398,4322.043604773161,1929.5330980086096,2126.2384549136063
2,10200.55279151364,4957.4608408232225,2680.647633472796,1218.0443051366265,1557.5544453914997
3,9088.202997685714,4639.007508619059,1919.9964349348418,1448.723632618753,1797.206038111461
4,6602.177357654737,6351.175943073452,2995.2422328874954,1681.7650984625698,1880.0029500649875
5,22142.64640857646,7017.40840065346,2653.4961954273003,1567.5398019169909,1524.1915707001515
6,22003.67024772433,7253.913732072551,2540.7328301912225,1373.1434725131421,2016.0059694121262
7,8827.006134305753,3697.7501834507666,1464.4903505254072,1896.3412298936594,1834.1699832716902
8,48554.62379983301,15576.69223263381,8672.323760587047,4078.427174894044,1945.6369139682713
9,27065.55376404096,13391.647281857293,6132.659431203918,3473.3089654765754,2157.575017362989
10,25458.602013101878,12832.953653087798,5705.209410946636,3325.4177198820516,2393.3868704788456
11,6239.511486468342,6267.138354986412,3669.400112070979,2031.694181311231,1865.1316781231753
12,31749.46365748136,16570.221420297083,3030.2744509235617,2651.529862248594,2390.108015279938
13,13905.099745743279,6719.189440249165,1887.1296973214605,1540.2114385422278,1694.038598289573
14,14824.18667577757,3810.9854925997574,2549.379388041968,1485.3132038952194,2145.0814413540297
15,8678.731373334374,6594.375557994967,2712.019562356821,1869.37683986536,2196.338212463087
16,8873.510360329275,3975.5811692292336,1258.8605447886778,1610.2341689265438,2038.4566642742104
17,2247.223751397313,666.1327286604693,747.4997198463246,1509.487327596711,1750.402354495902
18,4137.065879030359,1660.4117459956478,1114.4356691512728,1310.3926472331755,1647.6267115399294
19,17549.945116308336,14804.587251247824,2095.128034994355,2063.6316399070674,2348.594717651575
20,49708.933671464125,16383.193521280418,9850.468515677283,4075.734437025339,1875.6865803600615
21,44199.41651685409,28373.009350338947,13214.155081186938,3354.016746935137,1628.3688779525235
22,23691.469560289424,22121.932093299605,8954.100750894864,3007.4640861602015,1798.8039826018185
23,47754.82338065312,20022.94385207499,11162.448360837941,5125.391041527463,2242.1641495049544
24,39803.25071843859,11468.54342131397,6141.28911117803,2494.225981371774,1079.7917044968656
25,45663.30586099527,28228.100051429356,13331.50985681268,9344.977037909219,2706.864413914471
26,46026.06161809162,35938.203656965416,16522.781173408104,6686.021493827592,2487.884247450982
27,26692.651799986812,13974.719386120127,4363.112391342909,2679.6568103757013,1416.0584973142072
28,17019.161836539344,9956.319214497169,4273.602364349567,1955.0008072992143,905.4959292165411
29,45040.11024231821,24518.426837736803,11794.13839605493,5001.786832009403,2462.66854143787
30,29154.445246371906,24099.82744803867,13823.010063887166,8876.63583017011,3228.2594177739575
