,Delta,Theta,Alpha,Beta,Gamma
0,36939.197874893616,17233.822202095318,11289.953730880075,4876.173617624396,2126.254299615927
1,48821.42863887828,21268.435457965996,13314.155168718706,6270.167790865275,2638.694560978593
2,50854.464806753305,48982.10938687191,8113.123380186398,6119.856996302561,2454.7911352103833
3,41886.63573859904,34846.35082948384,13077.130431347585,7292.398083464999,3311.2876368265197
4,62510.63280024481,27029.369552738353,8624.05304418352,3604.9989756342416,1273.4065822576974
5,27606.773615169626,14384.505450960367,8886.039301085406,3987.2876129273877,1947.3863617021013
6,43599.08094833472,11423.195676588095,5857.574090670249,1907.0455400681362,1003.2455275002219
7,26618.693036435663,13112.64216328288,4659.720003759302,2742.3501022461137,1072.537985828066
8,47279.99389471147,14286.0250165657,9701.282221735028,3953.3835162394894,1935.352076503634
9,34972.4820765479,27804.95106745364,18144.816212052334,5258.559999003573,2155.982023254168
10,45968.08291022864,31383.918358538795,12105.172915818172,6677.265443019896,2496.6631040741486
11,53994.85076100094,25788.876311619926,11629.732678012788,5230.0404575392795,2181.197603215592
12,49802.6863468806,18494.34071278395,12191.84418463103,5589.144806045467,2003.5857272031399
13,39602.47728724223,19714.78359431555,5680.096408036376,3610.2204655920705,1309.4992408551484
14,65473.50127166053,43226.956833457254,10327.965820631223,7460.779328586281,3355.986288545606
15,53009.33610301583,32224.613702115807,11373.703470468608,6397.483274308254,2854.13784478675
16,49598.981587521106,28366.51131548933,13731.824113458735,5053.277100858047,1629.0543238615871
17,45195.89366208379,33372.32028330554,13086.08811470171,5888.479421098687,3002.128934305173
18,45951.73063694148,43509.72063184454,22963.028094702095,7651.029771353573,3926.675745895536
19,57227.162677604734,38308.904467316395,14447.508864261425,5354.6130923382925,2307.825320419039
20,53536.706181073765,22944.309774720383,13232.751977293252,5587.80829948365,1994.6463678966295
21,51324.76363730797,15645.3893895109,11535.359622640524,4888.143723696495,2027.3101712262348
22,33524.57616658972,16914.32383778855,3512.4972839447373,1697.8546976597472,1046.653247212853
23,60926.54569869826,32045.63200564672,15340.865493194666,6786.906586665716,2583.3394220635246
24,8616.517678068312,14016.892085922915,6145.122401666599,2563.5201398898475,757.5781136096579
25,61683.20606917917,33504.26190242633,13919.503831433787,4970.712207987868,1183.9528837293406
26,52678.73328491958,40858.781673297344,14949.73382419683,9138.804925638147,2999.696282447912
27,65272.145455004815,18081.66143156321,10363.85096257449,4146.489260245031,1227.6578797899876
28,37625.1124759831,17641.591266672836,12230.428515954218,6053.996726500284,3452.5202854564573
29,31322.80778636789,17986.767303904857,16369.269205554549,5363.016718115623,3102.925921991352
30,38720.66189058733,15025.915161883055,13278.811657666633,8566.239524535635,2646.6648574814003
